"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"11:13:44:471","3659124096408","   0.101","   7.930"," 4256"," 3700"," 4300"," 4800","  26.487","   2.682","   0.745","  25.184","   2.550","   0.708"," 78","0"," 59"," 83","   0.764","   0.077","   0.021","  45.000","    0","    0"
"11:13:44:580","3659375544390","   0.210","   9.439"," 4257"," 3500"," 4400"," 4800","  30.392","   5.998","   1.666","  29.229","   5.740","   1.594"," 75","0"," 61"," 91","   0.825","   0.167","   0.047","  45.000","    0","    0"
"11:13:44:682","3659610235102","   0.312","   8.080"," 4356"," 3600"," 4400"," 4800","  28.972","   8.950","   2.486","  27.585","   8.549","   2.375"," 81","0"," 64"," 87","   0.737","   0.242","   0.067","  45.000","    0","    0"
"11:13:44:782","3659841416764","   0.413","   7.470"," 4482"," 3800"," 4600"," 4800","  30.910","  12.051","   3.348","  29.892","  11.549","   3.208"," 75","0"," 64","100","   0.676","   0.310","   0.086","  45.000","    0","    0"
"11:13:44:883","3660072594092","   0.513","   8.922"," 4439"," 3700"," 4600"," 4800","  34.674","  15.530","   4.314","  33.103","  14.870","   4.131"," 77","0"," 63"," 89","   0.906","   0.401","   0.111","  45.000","    0","    0"
"11:13:44:988","3660314864034","   0.618","   7.048"," 4243"," 3500"," 4600"," 4800","  26.272","  18.293","   5.081","  25.042","  17.503","   4.862"," 98","0"," 63","100","   0.775","   0.483","   0.134","  45.000","    0","    0"
"11:13:45:092","3660553806644","   0.722","   6.820"," 4325"," 3500"," 4600"," 4800","  27.127","  21.106","   5.863","  25.776","  20.177","   5.605"," 94","0"," 64","100","   0.843","   0.570","   0.158","  45.000","    0","    0"
"11:13:45:197","3660796527338","   0.827","   8.236"," 4549"," 3800"," 4600"," 4800","  36.506","  24.952","   6.931","  35.463","  23.913","   6.642"," 92","0"," 65","100","   0.820","   0.657","   0.182","  45.000","    0","    0"
"11:13:45:302","3661038832634","   0.932","   7.529"," 4432"," 3600"," 4600"," 4800","  31.644","  28.280","   7.855","  30.383","  27.108","   7.530","100","0"," 63","100","   0.742","   0.735","   0.204","  45.000","    0","    0"
"11:13:45:404","3661274399674","   1.035","   8.345"," 4413"," 3600"," 4600"," 4771","  32.915","  31.645","   8.790","  31.693","  30.348","   8.430"," 90","0"," 63","100","   0.817","   0.818","   0.227","  45.000","    0","    0"
"11:13:45:508","3661513875402","   1.138","   7.723"," 4469"," 3900"," 4600"," 4800","  31.736","  34.944","   9.707","  30.460","  33.514","   9.310"," 94","0"," 64"," 94","   0.733","   0.894","   0.248","  45.000","    0","    0"
"11:13:45:608","3661744887758","   1.239","  13.108"," 4222"," 3600"," 4600"," 4800","  40.386","  38.993","  10.831","  39.474","  37.472","  10.409"," 87","0"," 62","100","   0.832","   0.978","   0.272","  45.000","    0","    0"
"11:13:45:709","3661976075972","   1.339","  19.266"," 4196"," 3500"," 4600"," 4800","  54.929","  44.505","  12.362","  53.313","  42.822","  11.895","100","0"," 63","100","   0.928","   1.071","   0.297","  45.000","    0","    0"
"11:13:45:813","3662215662182","   1.443","  16.341"," 4263"," 3500"," 4500"," 4800","  50.513","  49.757","  13.821","  49.169","  47.935","  13.315","100","0"," 64","100","   1.015","   1.176","   0.327","  45.000","    0","    0"
"11:13:45:915","3662451561976","   1.545","  14.577"," 4289"," 3600"," 4500"," 4797","  46.939","  54.563","  15.156","  45.657","  52.609","  14.614"," 91","0"," 66","100","   0.990","   1.278","   0.355","  45.000","    0","    0"
"11:13:46:016","3662683074200","   1.646","  15.646"," 4225"," 3600"," 4500"," 4800","  48.205","  59.407","  16.502","  46.644","  57.296","  15.916"," 81","0"," 66","100","   0.981","   1.376","   0.382","  45.000","    0","    0"
"11:13:46:121","3662925339344","   1.751","  11.892"," 4259"," 3700"," 4600"," 4800","  37.419","  63.342","  17.595","  36.095","  61.092","  16.970"," 83","0"," 65"," 99","   0.958","   1.477","   0.410","  45.000","    0","    0"
"11:13:46:225","3663165138820","   1.855","   8.459"," 4499"," 3700"," 4600"," 4800","  37.264","  67.220","  18.672","  35.989","  64.837","  18.010","100","0"," 66","100","   0.879","   1.568","   0.436","  45.000","    0","    0"
"11:13:46:325","3663396035692","   1.955","  11.650"," 4336"," 3600"," 4500"," 4800","  40.363","  71.265","  19.796","  39.341","  68.780","  19.106","100","0"," 64","100","   0.923","   1.661","   0.461","  45.000","    0","    0"
"11:13:46:430","3663638215108","   2.060","  13.927"," 4305"," 3500"," 4600"," 4800","  46.658","  76.169","  21.158","  45.100","  73.521","  20.422","100","0"," 64","100","   1.090","   1.776","   0.493","  45.000","    0","    0"
"11:13:46:532","3663873103972","   2.162","  16.746"," 4234"," 3600"," 4500"," 4800","  50.274","  81.295","  22.582","  48.947","  78.511","  21.808","100","0"," 65","100","   0.996","   1.877","   0.521","  45.000","    0","    0"
"11:13:46:636","3664113074144","   2.267","  14.578"," 3980"," 3500"," 4500"," 4800","  36.163","  85.061","  23.628","  34.711","  82.126","  22.813"," 98","0"," 63","100","   1.167","   1.999","   0.555","  45.000","    0","    0"
"11:13:46:737","3664344071794","   2.367","   7.940"," 4268"," 3500"," 4600"," 4794","  29.131","  87.982","  24.439","  27.749","  84.908","  23.586","100","0"," 65","100","   0.766","   2.076","   0.577","  45.000","    0","    0"
"11:13:46:841","3664584299402","   2.471","   9.043"," 4341"," 3700"," 4600"," 4800","  33.492","  91.474","  25.409","  32.315","  88.277","  24.521","100","0"," 64","100","   0.779","   2.157","   0.599","  45.000","    0","    0"
"11:13:46:945","3664824150988","   2.575","  10.708"," 4250"," 3500"," 4600"," 4799","  36.784","  95.303","  26.473","  35.384","  91.961","  25.545"," 87","0"," 64","100","   0.963","   2.257","   0.627","  45.000","    0","    0"
"11:13:47:045","3665055284848","   2.676","  17.289"," 4159"," 3500"," 4400"," 4800","  48.973"," 100.216","  27.838","  47.740","  96.750","  26.875"," 94","0"," 65","100","   1.107","   2.368","   0.658","  45.000","    0","    0"
"11:13:47:146","3665286612230","   2.776","  20.557"," 4027"," 3500"," 4400"," 4800","  50.196"," 105.256","  29.238","  48.189"," 101.588","  28.219"," 81","0"," 66","100","   1.407","   2.509","   0.697","  45.000","    0","    0"
"11:13:47:247","3665519063816","   2.877","  14.811"," 4172"," 3500"," 4400"," 4800","  42.506"," 109.544","  30.429","  41.208"," 105.746","  29.374"," 88","0"," 66","100","   0.945","   2.605","   0.724","  45.000","    0","    0"
"11:13:47:347","3665750285586","   2.977","  14.743"," 4296"," 3600"," 4400"," 4800","  47.620"," 114.323","  31.757","  46.143"," 110.377","  30.660"," 95","0"," 67","100","   1.168","   2.722","   0.756","  45.000","    0","    0"
"11:13:47:447","3665981470758","   3.078","  12.796"," 4014"," 3500"," 4400"," 4800","  33.730"," 117.708","  32.697","  32.157"," 113.603","  31.556"," 85","0"," 66"," 99","   0.985","   2.821","   0.784","  45.000","  350","  333"
"11:13:47:547","3666212315072","   3.178","  13.648"," 3753"," 3500"," 4300"," 4800","  27.319"," 120.445","  33.457","  25.638"," 116.172","  32.270"," 82","0"," 63"," 92","   1.277","   2.949","   0.819","  45.000","    0","    0"
"11:13:47:649","3666445949066","   3.279","   7.487"," 3951"," 3200"," 4400"," 4800","  19.966"," 122.470","  34.019","  18.682"," 118.067","  32.796"," 81","0"," 64"," 90","   0.861","   3.036","   0.843","  45.000","    0","    0"

"Total Elapsed Time (sec) = 3.279095"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 122.469666"
"Cumulative Package Energy_0 (mWh) = 34.019352"
"Average Package Power_0 (Watt) = 37.348613"

"Cumulative IA Energy_0 (Joules) = 118.066589"
"Cumulative IA Energy_0 (mWh) = 32.796275"
"Average Package IA_0 (Watt) = 36.005841"

"Cumulative DRAM Energy_0 (Joules) = 3.036072"
"Cumulative DRAM Energy_0 (mWh) = 0.843353"
"Average Package DRAM_0 (Watt) = 0.925887"
