"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"11:13:49:880","3671585929762","   0.105","  10.674"," 4224"," 3400"," 4400"," 4800","  30.962","   3.252","   0.903","  29.577","   3.107","   0.863"," 91","0"," 60"," 91","   0.983","   0.103","   0.029","  45.000","    0","    0"
"11:13:49:985","3671828891252","   0.210","  11.379"," 4132"," 3500"," 4500"," 4800","  31.736","   6.599","   1.833","  30.745","   6.349","   1.764"," 77","0"," 62"," 94","   0.865","   0.194","   0.054","  45.000","    0","    0"
"11:13:50:088","3672065046778","   0.313","  12.777"," 3754"," 2900"," 4300"," 4788","  25.179","   9.179","   2.550","  23.484","   8.756","   2.432"," 86","0"," 62"," 87","   1.005","   0.297","   0.083","  45.000","    0","    0"
"11:13:50:193","3672307384402","   0.418","  11.010"," 4157"," 3200"," 4400"," 4792","  30.973","  12.437","   3.455","  29.759","  11.886","   3.302"," 90","0"," 63"," 93","   0.917","   0.394","   0.109","  45.000","    0","    0"
"11:13:50:296","3672543933454","   0.521","  10.932"," 4336"," 3400"," 4500"," 4800","  35.618","  16.094","   4.471","  34.574","  15.436","   4.288"," 81","0"," 64"," 96","   0.849","   0.481","   0.134","  45.000","    0","    0"
"11:13:50:401","3672786290574","   0.626","  12.055"," 3647"," 3500"," 4300"," 4800","  22.059","  18.414","   5.115","  20.360","  17.577","   4.883"," 75","0"," 62"," 88","   0.975","   0.584","   0.162","  45.000","    0","    0"
"11:13:50:506","3673028464906","   0.731","   8.377"," 3777"," 1200"," 4400"," 4403","  20.598","  20.580","   5.717","  19.360","  19.612","   5.448"," 79","0"," 62"," 92","   0.911","   0.679","   0.189","  45.000","    0","    0"
"11:13:50:608","3673263892884","   0.833","   6.534"," 4389"," 3300"," 4500"," 4800","  27.072","  23.346","   6.485","  25.903","  22.259","   6.183"," 98","0"," 63"," 99","   0.780","   0.759","   0.211","  45.000","    0","    0"
"11:13:50:709","3673497520540","   0.935","   7.235"," 4003"," 1300"," 4600"," 4427","  24.841","  25.865","   7.185","  23.688","  24.661","   6.850"," 78","0"," 63","100","   0.795","   0.840","   0.233","  45.000","    0","    0"
"11:13:50:810","3673728316208","   1.035","   7.985"," 4513"," 2600"," 4600"," 4800","  34.331","  29.304","   8.140","  33.309","  27.998","   7.777"," 92","0"," 66"," 93","   0.748","   0.915","   0.254","  45.000","    0","    0"
"11:13:50:915","3673970635422","   1.140","   7.792"," 4435"," 3200"," 4600"," 4800","  33.533","  32.830","   9.120","  31.822","  31.344","   8.707"," 79","0"," 66"," 98","   0.811","   1.000","   0.278","  45.000","    0","    0"
"11:13:51:018","3674208382198","   1.243","   7.688"," 4367"," 3800"," 4600"," 4800","  28.448","  35.766","   9.935","  27.296","  34.161","   9.489"," 87","0"," 67"," 88","   0.713","   1.073","   0.298","  45.000","    0","    0"
"11:13:51:121","3674444809092","   1.346","  15.113"," 4337"," 3500"," 4600"," 4800","  49.647","  40.861","  11.350","  48.832","  39.172","  10.881"," 90","0"," 66","100","   0.769","   1.152","   0.320","  45.000","    0","    0"
"11:13:51:225","3674684701238","   1.450","  16.895"," 4364"," 3600"," 4500"," 4800","  57.163","  46.812","  13.003","  55.405","  44.941","  12.484","100","0"," 69","100","   0.936","   1.250","   0.347","  45.000","    0","    0"
"11:13:51:325","3674915842554","   1.550","  14.645"," 4276"," 3600"," 4500"," 4800","  47.376","  51.565","  14.324","  46.032","  49.559","  13.766"," 94","0"," 67","100","   0.998","   1.350","   0.375","  45.000","    0","    0"
"11:13:51:425","3675146813486","   1.651","  15.809"," 4275"," 3600"," 4500"," 4800","  49.384","  56.516","  15.699","  48.535","  54.424","  15.118"," 97","0"," 68","100","   0.992","   1.449","   0.403","  45.000","    0","    0"
"11:13:51:525","3675377597146","   1.751","  14.590"," 4205"," 3400"," 4500"," 4797","  44.989","  61.022","  16.951","  43.477","  58.779","  16.328"," 98","0"," 67","100","   1.030","   1.553","   0.431","  45.000","    0","    0"
"11:13:51:630","3675619780088","   1.856","  17.903"," 4116"," 3500"," 4500"," 4800","  48.028","  66.071","  18.353","  46.390","  63.655","  17.682"," 94","0"," 66","100","   1.208","   1.680","   0.467","  45.000","    0","    0"
