"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"14:30:51:538","27193973874422","   0.105","  10.070"," 4172"," 3500"," 4400"," 4795","  30.157","   3.167","   0.880","  28.610","   3.005","   0.835"," 80","0"," 58"," 86","   0.905","   0.095","   0.026","  45.000","    0","    0"
"14:30:51:643","27194215558248","   0.210","   9.118"," 4278"," 3600"," 4400"," 4795","  30.652","   6.383","   1.773","  29.466","   6.096","   1.693"," 80","0"," 59"," 88","   0.784","   0.177","   0.049","  45.000","    0","    0"
"14:30:51:743","27194446408466","   0.310","   8.364"," 4293"," 3500"," 4400"," 4789","  28.378","   9.226","   2.563","  26.979","   8.799","   2.444"," 85","0"," 60"," 86","   0.797","   0.257","   0.071","  45.000","    0","    0"
"14:30:51:846","27194683950734","   0.413","   7.351"," 4442"," 3600"," 4600"," 4800","  29.281","  12.245","   3.401","  28.201","  11.707","   3.252"," 98","0"," 60"," 99","   0.658","   0.325","   0.090","  45.000","    0","    0"
"14:30:51:951","27194926347488","   0.518","  17.765"," 3939"," 3400"," 4600"," 4800","  41.749","  16.637","   4.621","  40.574","  15.975","   4.438"," 81","0"," 61"," 98","   1.121","   0.443","   0.123","  45.000","    0","    0"
"14:30:52:058","27195172841758","   0.625","  11.257"," 3749"," 3500"," 4300"," 4800","  24.174","  19.224","   5.340","  22.357","  18.367","   5.102"," 88","0"," 59"," 88","   1.087","   0.559","   0.155","  45.000","    0","    0"
"14:30:52:158","27195403691792","   0.726","   7.401"," 4144"," 3000"," 4600"," 4800","  24.049","  21.633","   6.009","  22.852","  20.657","   5.738"," 83","0"," 60"," 89","   0.846","   0.644","   0.179","  45.000","    0","    0"
"14:30:52:260","27195638404514","   0.827","   7.626"," 4356"," 3500"," 4600"," 4800","  29.173","  24.605","   6.835","  27.727","  23.481","   6.523"," 87","0"," 61"," 92","   0.765","   0.722","   0.201","  45.000","    0","    0"
"14:30:52:362","27195873695918","   0.930","   9.643"," 4425"," 3700"," 4600"," 4800","  36.325","  28.315","   7.865","  35.586","  27.116","   7.532"," 86","0"," 61","100","   0.657","   0.789","   0.219","  45.000","    0","    0"
"14:30:52:463","27196105093512","   1.030","  17.690"," 4323"," 3700"," 4600"," 4800","  55.858","  33.925","   9.424","  54.281","  32.567","   9.046","100","0"," 64","100","   0.883","   0.878","   0.244","  45.000","    0","    0"
"14:30:52:568","27196347354808","   1.135","  16.624"," 4266"," 3600"," 4500"," 4800","  51.365","  39.326","  10.924","  49.907","  37.815","  10.504"," 92","0"," 62","100","   0.978","   0.981","   0.272","  45.000","    0","    0"
"14:30:52:669","27196578809754","   1.236","  16.684"," 4255"," 3000"," 4500"," 4724","  49.359","  44.284","  12.301","  47.792","  42.616","  11.838"," 84","0"," 64"," 97","   1.132","   1.094","   0.304","  45.000","    0","    0"
"14:30:52:769","27196809557438","   1.336","  16.342"," 4294"," 3500"," 4600"," 4800","  50.757","  49.367","  13.713","  49.493","  47.573","  13.215"," 88","0"," 65"," 92","   0.946","   1.189","   0.330","  45.000","    0","    0"
"14:30:52:869","27197040624098","   1.436","  11.585"," 4479"," 3800"," 4600"," 4800","  44.615","  53.842","  14.956","  43.599","  51.945","  14.429"," 94","0"," 67","100","   0.937","   1.283","   0.356","  45.000","    0","    0"
"14:30:52:974","27197282890858","   1.541","   8.606"," 4437"," 3500"," 4600"," 4800","  35.454","  57.570","  15.992","  34.017","  55.522","  15.423","100","0"," 63","100","   0.888","   1.376","   0.382","  45.000","    0","    0"
"14:30:53:079","27197525256682","   1.646","  11.744"," 4250"," 3500"," 4600"," 4800","  36.952","  61.457","  17.071","  35.895","  59.298","  16.472"," 92","0"," 61","100","   0.927","   1.474","   0.409","  45.000","    0","    0"
"14:30:53:181","27197758830922","   1.748","  15.531"," 4338"," 3600"," 4600"," 4800","  51.189","  66.646","  18.513","  49.420","  64.308","  17.863"," 94","0"," 64"," 94","   1.102","   1.586","   0.440","  45.000","    0","    0"
"14:30:53:281","27197989854950","   1.848","  16.081"," 4189"," 3800"," 4500"," 4800","  46.518","  71.311","  19.809","  45.506","  68.871","  19.131"," 90","0"," 62","100","   1.001","   1.686","   0.468","  45.000","    0","    0"
"14:30:53:381","27198220641584","   1.948","  13.989"," 3967"," 3500"," 4500"," 4800","  34.096","  74.726","  20.757","  32.555","  72.132","  20.037"," 81","0"," 62"," 98","   1.086","   1.795","   0.499","  45.000","    0","    0"
"14:30:53:482","27198452074948","   2.049","   8.548"," 4303"," 3500"," 4600"," 4800","  30.892","  77.829","  21.619","  29.456","  75.091","  20.859"," 99","0"," 62","100","   0.843","   1.880","   0.522","  45.000","    0","    0"
"14:30:53:587","27198694314924","   2.154","   8.772"," 4531"," 3900"," 4600"," 4800","  36.868","  81.705","  22.696","  35.712","  78.846","  21.902"," 92","0"," 62"," 92","   0.767","   1.960","   0.545","  45.000","    0","    0"
"14:30:53:692","27198935866834","   2.259","   9.588"," 4506"," 3900"," 4600"," 4800","  39.909","  85.889","  23.858","  38.630","  82.896","  23.027","100","0"," 64","100","   0.742","   2.038","   0.566","  45.000","    0","    0"
"14:30:53:797","27199178166862","   2.364","   8.529"," 4158"," 3500"," 4600"," 4520","  29.172","  88.957","  24.710","  27.712","  85.810","  23.836"," 81","0"," 61","100","   0.922","   2.135","   0.593","  45.000","    0","    0"
"14:30:53:897","27199408897478","   2.464","  45.995"," 3668"," 3400"," 4600"," 4800","  57.564","  94.722","  26.312","  55.997","  91.418","  25.394"," 88","0"," 61"," 99","   1.701","   2.305","   0.640","  45.000","    0","    0"
"14:30:53:997","27199639937062","   2.564","  89.202"," 3592"," 3500"," 3600"," 4800","  79.659"," 102.710","  28.531","  77.990","  99.238","  27.566"," 95","0"," 76"," 96","   2.323","   2.538","   0.705","  45.000","    0","    0"
"14:30:54:099","27199874790956","   2.666","  92.175"," 3592"," 3500"," 3600"," 4800","  82.174"," 111.086","  30.857","  80.159"," 107.409","  29.836","100","0"," 80","100","   2.325","   2.775","   0.771","  45.000","    0","    0"
"14:30:54:199","27200105784212","   2.766","  91.432"," 3582"," 3200"," 3600"," 4800","  81.646"," 119.272","  33.131","  79.747"," 115.404","  32.057","100","0"," 80","100","   2.353","   3.011","   0.836","  45.000","    0","    0"
"14:30:54:302","27200342764444","   2.869","  89.456"," 3449"," 3200"," 3600"," 4800","  73.199"," 126.801","  35.222","  71.259"," 122.734","  34.093","100","0"," 78","100","   2.356","   3.253","   0.904","  45.000","    0","    0"
"14:30:54:402","27200573741280","   2.970","  94.526"," 3508"," 3300"," 3600"," 4800","  78.083"," 134.629","  37.397","  75.490"," 130.302","  36.195","100","0"," 80","100","   2.351","   3.489","   0.969","  45.000","    0","    0"
"14:30:54:503","27200804783258","   3.070","  96.953"," 3485"," 3200"," 3600"," 4800","  76.674"," 142.318","  39.533","  74.909"," 137.813","  38.281","100","0"," 80","100","   2.302","   3.720","   1.033","  45.000","    0","    0"
"14:30:54:605","27201041186230","   3.172","  96.761"," 3444"," 3200"," 3600"," 4800","  74.009"," 149.911","  41.642","  72.568"," 145.259","  40.350","100","0"," 79","100","   2.227","   3.948","   1.097","  45.000","    0","    0"
"14:30:54:707","27201276320850","   3.275","  94.498"," 3426"," 3200"," 3600"," 4800","  72.958"," 157.357","  43.710","  71.099"," 152.515","  42.365","100","0"," 79","100","   2.265","   4.180","   1.161","  45.000","    0","    0"
"14:30:54:808","27201507930118","   3.375","  95.796"," 3462"," 3200"," 3600"," 4800","  75.672"," 164.964","  45.823","  73.500"," 159.904","  44.418","100","0"," 79","100","   2.272","   4.408","   1.224","  45.000","    0","    0"
"14:30:54:908","27201739065550","   3.475","  93.694"," 3442"," 3200"," 3600"," 4800","  74.010"," 172.388","  47.886","  72.260"," 167.153","  46.431","100","0"," 80","100","   2.369","   4.646","   1.290","  45.000","    0","    0"
"14:30:55:008","27201969899322","   3.576","  96.549"," 3452"," 3200"," 3600"," 4800","  75.194"," 179.922","  49.978","  73.255"," 174.492","  48.470","100","0"," 80","100","   2.311","   4.877","   1.355","  45.000","    0","    0"
"14:30:55:113","27202211172672","   3.680","  97.042"," 3419"," 3200"," 3600"," 4800","  73.860"," 187.657","  52.127","  71.708"," 182.001","  50.556","100","0"," 80","100","   2.368","   5.125","   1.424","  45.000","    0","    0"
"14:30:55:216","27202447497794","   3.783","  96.044"," 3452"," 3200"," 3600"," 4800","  75.233"," 195.373","  54.270","  72.885"," 189.477","  52.633","100","0"," 80","100","   2.439","   5.375","   1.493","  45.000","    0","    0"
"14:30:55:318","27202683133592","   3.885","  96.132"," 3402"," 3200"," 3600"," 4800","  72.847"," 202.824","  56.340","  71.067"," 196.746","  54.652","100","0"," 81","100","   2.354","   5.616","   1.560","  45.000","    0","    0"
"14:30:55:418","27202914025100","   3.985","  96.638"," 3372"," 3100"," 3500"," 4800","  71.134"," 209.952","  58.320","  69.207"," 203.681","  56.578","100","0"," 80","100","   2.351","   5.852","   1.625","  45.000","    0","    0"
"14:30:55:519","27203146570146","   4.086","  96.052"," 3407"," 3100"," 3600"," 4800","  72.454"," 217.265","  60.351","  70.544"," 210.801","  58.556","100","0"," 79","100","   2.362","   6.090","   1.692","  45.000","    0","    0"
"14:30:55:619","27203377721750","   4.187","  98.801"," 3404"," 3200"," 3600"," 4800","  72.938"," 224.583","  62.384","  70.465"," 217.870","  60.520","100","0"," 81","100","   2.378","   6.329","   1.758","  45.000","    0","    0"
"14:30:55:722","27203613592210","   4.289","  95.507"," 3409"," 3200"," 3600"," 4800","  72.800"," 232.035","  64.454","  71.180"," 225.158","  62.544","100","0"," 80","100","   2.261","   6.560","   1.822","  45.000","    0","    0"
"14:30:55:826","27203854056972","   4.393","  97.097"," 3412"," 3200"," 3600"," 4800","  72.860"," 239.640","  66.567","  71.239"," 232.593","  64.609"," 99","0"," 80","100","   2.355","   6.806","   1.891","  45.000","    0","    0"
"14:30:55:930","27204092633298","   4.497","  94.250"," 3455"," 3200"," 3600"," 4800","  75.544"," 247.462","  68.740","  73.128"," 240.165","  66.712","100","0"," 80","100","   2.405","   7.055","   1.960","  45.000","    0","    0"
"14:30:56:030","27204323605556","   4.597","  95.293"," 3376"," 3100"," 3600"," 4800","  69.605"," 254.440","  70.678","  67.729"," 246.955","  68.598","100","0"," 78","100","   2.286","   7.284","   2.023","  45.000","    0","    0"
"14:30:56:130","27204554416764","   4.697","  94.989"," 3449"," 3200"," 3600"," 4800","  75.275"," 261.981","  72.772","  73.524"," 254.320","  70.644","100","0"," 79","100","   2.330","   7.518","   2.088","  45.000","    0","    0"
"14:30:56:230","27204785481974","   4.798","  93.158"," 3437"," 3200"," 3600"," 4800","  73.588"," 269.361","  74.822","  71.736"," 261.514","  72.643","100","0"," 79","100","   2.391","   7.757","   2.155","  45.000","    0","    0"
"14:30:56:335","27205025404748","   4.902","  92.837"," 3455"," 3200"," 3600"," 4800","  74.242"," 277.092","  76.970","  71.714"," 268.982","  74.717","100","0"," 79","100","   2.422","   8.010","   2.225","  45.000","    0","    0"
"14:30:56:435","27205256354992","   5.002","  98.575"," 3474"," 3200"," 3600"," 4800","  75.782"," 284.688","  79.080","  74.063"," 276.406","  76.779","100","0"," 80","100","   2.255","   8.236","   2.288","  45.000","    0","    0"
"14:30:56:535","27205487663708","   5.102","  95.161"," 3385"," 3200"," 3500"," 4800","  72.032"," 291.920","  81.089","  70.309"," 283.465","  78.740","100","0"," 80","100","   2.371","   8.474","   2.354","  45.000","    0","    0"
"14:30:56:636","27205718846568","   5.203","  95.626"," 3411"," 3200"," 3600"," 4800","  73.924"," 299.337","  83.149","  71.487"," 290.638","  80.733"," 99","0"," 81","100","   2.359","   8.710","   2.420","  45.000","    0","    0"
"14:30:56:740","27205958728728","   5.307","  93.113"," 3413"," 3200"," 3600"," 4800","  73.318"," 306.971","  85.270","  71.453"," 298.077","  82.799","100","0"," 80","100","   2.378","   8.958","   2.488","  45.000","    0","    0"
"14:30:56:840","27206190127422","   5.407","  94.468"," 3405"," 3200"," 3600"," 4800","  71.364"," 314.138","  87.261","  69.822"," 305.090","  84.747"," 99","0"," 79","100","   2.314","   9.190","   2.553","  45.000","    0","    0"
"14:30:56:941","27206422518438","   5.508","  96.727"," 3401"," 3100"," 3600"," 4800","  72.399"," 321.441","  89.289","  70.312"," 312.182","  86.717","100","0"," 79","100","   2.384","   9.431","   2.620","  45.000","    0","    0"
"14:30:57:044","27206659265964","   5.611","  93.685"," 3375"," 3100"," 3600"," 4800","  70.952"," 328.731","  91.314","  68.828"," 319.254","  88.682"," 99","0"," 79","100","   2.422","   9.680","   2.689","  45.000","    0","    0"
"14:30:57:144","27206890406412","   5.711","  93.551"," 3398"," 3200"," 3500"," 4800","  72.477"," 336.002","  93.334","  70.763"," 326.353","  90.654","100","0"," 81","100","   2.379","   9.918","   2.755","  45.000","    0","    0"
"14:30:57:244","27207121572448","   5.812","  90.345"," 3392"," 3200"," 3600"," 4800","  70.568"," 343.083","  95.301","  68.921"," 333.268","  92.574","100","0"," 80","100","   2.377","  10.157","   2.821","  45.000","    0","    0"
"14:30:57:346","27207355891998","   5.913","  88.983"," 3382"," 3200"," 3600"," 4800","  70.820"," 350.285","  97.301","  68.599"," 340.245","  94.512","100","0"," 81","100","   2.371","  10.398","   2.888","  45.000","    0","    0"
"14:30:57:447","27207587224004","   6.014","  89.946"," 3345"," 3100"," 3500"," 4800","  69.374"," 357.250","  99.236","  66.896"," 346.961","  96.378","100","0"," 79","100","   2.394","  10.638","   2.955","  45.000","    0","    0"
"14:30:57:547","27207818125490","   6.114","  88.102"," 3391"," 3100"," 3500"," 4800","  70.615"," 364.327"," 101.202","  68.774"," 353.854","  98.293","100","0"," 79","100","   2.340","  10.873","   3.020","  45.000","    0","    0"
"14:30:57:657","27208071314748","   6.224","  85.342"," 3420"," 3200"," 3600"," 4800","  70.013"," 372.021"," 103.339","  67.859"," 361.311"," 100.364","100","0"," 79","100","   2.465","  11.144","   3.095","  45.000","  350","  333"
"14:30:57:757","27208303110008","   6.324","  85.931"," 3454"," 3200"," 3600"," 4800","  69.333"," 378.996"," 105.277","  67.947"," 368.147"," 102.263","100","0"," 77","100","   1.996","  11.345","   3.151","  45.000","    0","    0"
"14:30:57:857","27208533930116","   6.425","  54.154"," 3507"," 3200"," 3700"," 4800","  64.259"," 385.434"," 107.065","  62.974"," 374.455"," 104.015","100","0"," 75","100","   1.207","  11.465","   3.185","  45.000","    0","    0"
"14:30:57:958","27208764838828","   6.525","  38.822"," 3515"," 3200"," 3600"," 4800","  55.496"," 390.996"," 108.610","  53.537"," 379.821"," 105.506","100","0"," 73","100","   1.150","  11.581","   3.217","  45.000","    0","    0"
