"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"14:09:53:747","24296057902938","   0.100","   7.860"," 4310"," 3600"," 4400"," 4800","  28.037","   2.806","   0.779","  26.633","   2.665","   0.740"," 88","0"," 62"," 90","   0.789","   0.079","   0.022","  45.000","    0","    0"
"14:09:53:852","24296300241436","   0.205","   8.797"," 4298"," 3500"," 4400"," 4800","  29.993","   5.960","   1.656","  28.957","   5.711","   1.586"," 75","0"," 62"," 88","   0.792","   0.162","   0.045","  45.000","    0","    0"
"14:09:53:957","24296542505870","   0.310","   8.215"," 4361"," 3500"," 4400"," 4800","  29.990","   9.114","   2.532","  28.533","   8.711","   2.420"," 88","0"," 65"," 92","   0.760","   0.242","   0.067","  45.000","    0","    0"
"14:09:54:062","24296784202994","   0.415","   7.494"," 4472"," 3800"," 4600"," 4800","  31.560","  12.425","   3.451","  30.393","  11.900","   3.305"," 80","0"," 63","100","   0.674","   0.313","   0.087","  45.000","    0","    0"
"14:09:54:163","24297016547722","   0.516","   9.216"," 4404"," 3600"," 4600"," 4800","  35.974","  16.052","   4.459","  34.441","  15.373","   4.270"," 92","0"," 64"," 92","   0.920","   0.406","   0.113","  45.000","    0","    0"
"14:09:54:268","24297258950136","   0.621","   7.460"," 4038"," 3500"," 4300"," 4800","  23.378","  18.512","   5.142","  22.025","  17.690","   4.914"," 97","0"," 63"," 97","   0.799","   0.490","   0.136","  45.000","    0","    0"
"14:09:54:370","24297492459464","   0.723","   7.329"," 4213"," 3600"," 4600"," 4800","  26.411","  21.189","   5.886","  24.830","  20.206","   5.613"," 82","0"," 62"," 99","   0.901","   0.581","   0.161","  45.000","    0","    0"
"14:09:54:471","24297726472790","   0.824","   7.420"," 4480"," 3800"," 4600"," 4800","  31.590","  24.397","   6.777","  30.539","  23.308","   6.475"," 99","0"," 64"," 99","   0.677","   0.650","   0.180","  45.000","    0","    0"
"14:09:54:576","24297968657316","   0.929","  13.510"," 4272"," 3700"," 4600"," 4800","  42.711","  28.887","   8.024","  41.719","  27.694","   7.693"," 88","0"," 63","100","   0.780","   0.732","   0.203","  45.000","    0","    0"
"14:09:54:677","24298201184256","   1.030","  17.602"," 4359"," 3700"," 4600"," 4800","  57.694","  34.709","   9.642","  56.346","  33.380","   9.272","100","0"," 68","100","   0.887","   0.821","   0.228","  45.000","    0","    0"
