"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"11:59:32:529","6276143532878","   0.104","   7.918"," 4261"," 3500"," 4400"," 4800","  26.425","   2.757","   0.766","  24.706","   2.577","   0.716"," 81","0"," 59"," 82","   0.789","   0.082","   0.023","  45.000","    0","    0"
"11:59:32:639","6276399183192","   0.215","  10.215"," 4248"," 3500"," 4400"," 4796","  32.923","   6.410","   1.780","  31.611","   6.085","   1.690"," 80","0"," 60"," 94","   0.867","   0.178","   0.050","  45.000","    0","    0"
"11:59:32:745","6276641464562","   0.320","   8.720"," 4361"," 3600"," 4400"," 4800","  31.069","   9.677","   2.688","  29.803","   9.219","   2.561"," 92","0"," 62"," 96","   0.765","   0.259","   0.072","  45.000","    0","    0"
"11:59:32:850","6276883722088","   0.426","   6.974"," 4429"," 3900"," 4600"," 4794","  28.045","  12.626","   3.507","  26.963","  12.054","   3.348"," 81","0"," 62"," 93","   0.665","   0.329","   0.091","  45.000","    0","    0"
"11:59:32:950","6277114765144","   0.526","   9.470"," 4437"," 3800"," 4600"," 4795","  36.171","  16.253","   4.515","  34.773","  15.541","   4.317"," 86","0"," 63","100","   0.917","   0.421","   0.117","  45.000","    0","    0"
"11:59:33:054","6277355301586","   0.630","   7.047"," 4227"," 3500"," 4500"," 4800","  27.236","  19.096","   5.305","  25.730","  18.227","   5.063"," 85","0"," 62","100","   0.783","   0.503","   0.140","  45.000","    0","    0"
"11:59:33:158","6277594461176","   0.734","   7.143"," 4352"," 3600"," 4500"," 4800","  27.851","  21.987","   6.108","  26.688","  20.997","   5.833"," 94","0"," 63"," 95","   0.830","   0.589","   0.164","  45.000","    0","    0"
"11:59:33:263","6277836723726","   0.839","   7.413"," 4426"," 3900"," 4600"," 4800","  31.047","  25.252","   7.014","  29.629","  24.113","   6.698","100","0"," 63","100","   0.677","   0.660","   0.183","  45.000","    0","    0"
"11:59:33:364","6278068649404","   0.940","  16.675"," 4151"," 3600"," 4600"," 4800","  47.107","  29.994","   8.332","  46.035","  28.747","   7.985"," 90","0"," 62","100","   0.844","   0.745","   0.207","  45.000","    0","    0"
"11:59:33:469","6278311181990","   1.045","  17.472"," 4304"," 3700"," 4600"," 4797","  54.323","  35.712","   9.920","  52.818","  34.307","   9.530"," 98","0"," 66"," 99","   0.877","   0.837","   0.233","  45.000","    0","    0"
"11:59:33:570","6278542200584","   1.145","  17.014"," 4222"," 3500"," 4500"," 4800","  49.578","  40.683","  11.301","  48.321","  39.152","  10.876"," 99","0"," 65","100","   1.090","   0.947","   0.263","  45.000","    0","    0"
"11:59:33:675","6278784649542","   1.251","  15.934"," 4124"," 3500"," 4500"," 4797","  45.312","  45.451","  12.625","  43.768","  43.758","  12.155","100","0"," 66","100","   1.143","   1.067","   0.296","  45.000","    0","    0"
"11:59:33:780","6279026851800","   1.356","  15.352"," 4132"," 3600"," 4500"," 4800","  42.675","  49.937","  13.871","  41.409","  48.111","  13.364"," 86","0"," 68","100","   0.969","   1.169","   0.325","  45.000","    0","    0"
"11:59:33:880","6279257751136","   1.456","  11.608"," 4391"," 3600"," 4500"," 4800","  42.734","  54.220","  15.061","  41.378","  52.257","  14.516","100","0"," 68","100","   0.987","   1.268","   0.352","  45.000","    0","    0"
"11:59:33:980","6279488627322","   1.556","   9.385"," 4329"," 3400"," 4500"," 4795","  34.386","  57.666","  16.018","  32.726","  55.537","  15.427"," 97","0"," 68","100","   0.986","   1.366","   0.380","  45.000","    0","    0"
"11:59:34:081","6279720938096","   1.657","  12.009"," 4383"," 3500"," 4600"," 4796","  41.964","  61.897","  17.194","  41.131","  59.684","  16.579"," 97","0"," 67","100","   0.895","   1.457","   0.405","  45.000","    0","    0"
"11:59:34:182","6279952259538","   1.757","  13.456"," 4401"," 3600"," 4600"," 4800","  49.461","  66.863","  18.573","  47.803","  64.483","  17.912"," 95","0"," 67","100","   1.133","   1.570","   0.436","  45.000","    0","    0"
"11:59:34:282","6280183326512","   1.858","  15.436"," 4319"," 3700"," 4600"," 4800","  51.055","  71.983","  19.995","  49.711","  69.469","  19.297"," 99","0"," 69"," 99","   1.029","   1.673","   0.465","  45.000","    0","    0"
"11:59:34:383","6280416125188","   1.959","  13.369"," 3997"," 3500"," 4500"," 4800","  34.137","  75.432","  20.953","  32.651","  72.768","  20.213"," 92","0"," 65","100","   1.079","   1.782","   0.495","  45.000","    0","    0"
"11:59:34:488","6280658462496","   2.064","   8.319"," 4297"," 3500"," 4600"," 4800","  30.475","  78.638","  21.844","  29.489","  75.870","  21.075"," 92","0"," 66","100","   0.796","   1.866","   0.518","  45.000","    0","    0"
"11:59:34:593","6280900853000","   2.169","   8.832"," 4530"," 3800"," 4600"," 4800","  38.026","  82.638","  22.955","  36.618","  79.722","  22.145"," 95","0"," 66"," 95","   0.780","   1.948","   0.541","  45.000","    0","    0"
"11:59:34:697","6281139283782","   2.273","   7.733"," 4353"," 3500"," 4600"," 4642","  31.970","  85.947","  23.874","  30.343","  82.862","  23.017"," 82","0"," 66"," 99","   0.839","   2.035","   0.565","  45.000","    0","    0"
"11:59:34:797","6281370094186","   2.373","   7.923"," 4220"," 3500"," 4500"," 4685","  30.954","  89.048","  24.735","  29.716","  85.839","  23.844"," 83","0"," 64"," 84","   0.826","   2.118","   0.588","  45.000","    0","    0"
"11:59:34:897","6281601150550","   2.473","   9.419"," 4343"," 3800"," 4500"," 4795","  39.723","  93.031","  25.842","  38.571","  89.707","  24.919"," 84","0"," 65"," 98","   0.709","   2.189","   0.608","  45.000","    0","    0"
"11:59:34:997","6281831990922","   2.573","  10.351"," 4263"," 3600"," 4500"," 4795","  40.765","  97.115","  26.977","  39.224","  93.637","  26.010"," 95","0"," 65"," 95","   0.746","   2.264","   0.629","  45.000","    0","    0"
"11:59:35:098","6282063079908","   2.674","   9.769"," 4342"," 3800"," 4500"," 4787","  40.344"," 101.162","  28.101","  39.148","  97.563","  27.101"," 85","0"," 68"," 99","   0.745","   2.338","   0.650","  45.000","    0","    0"
"11:59:35:198","6282293794566","   2.774","   9.314"," 4359"," 3600"," 4500"," 4783","  39.428"," 105.110","  29.197","  38.205"," 101.389","  28.164"," 84","0"," 65"," 96","   0.722","   2.411","   0.670","  45.000","    0","    0"
"11:59:35:298","6282524869230","   2.874","  10.624"," 4321"," 3700"," 4500"," 4791","  42.561"," 109.379","  30.383","  41.458"," 105.547","  29.319"," 87","0"," 68"," 92","   0.723","   2.483","   0.690","  45.000","    0","    0"
"11:59:35:398","6282755579672","   2.974","   7.815"," 4380"," 4000"," 4500"," 4788","  37.062"," 113.090","  31.414","  35.495"," 109.101","  30.306"," 85","0"," 68"," 89","   0.700","   2.553","   0.709","  45.000","    0","    0"
"11:59:35:498","6282986280180","   3.074","   7.205"," 4413"," 3800"," 4500"," 4776","  35.008"," 116.595","  32.388","  33.771"," 112.483","  31.245"," 84","0"," 68"," 86","   0.675","   2.621","   0.728","  45.000","    0","    0"
"11:59:35:599","6283217277488","   3.175","   9.982"," 4356"," 3700"," 4500"," 4788","  41.345"," 120.741","  33.539","  40.262"," 116.519","  32.367","100","0"," 65","100","   0.728","   2.694","   0.748","  45.000","    0","    0"
"11:59:35:699","6283447952426","   3.275","  10.494"," 4257"," 3500"," 4400"," 4793","  40.858"," 124.831","  34.675","  39.616"," 120.486","  33.468"," 89","0"," 68","100","   0.735","   2.767","   0.769","  45.000","    0","    0"
"11:59:35:799","6283678876952","   3.375","   8.799"," 4330"," 3200"," 4500"," 4779","  37.644"," 128.604","  35.723","  36.146"," 124.109","  34.475"," 90","0"," 65"," 95","   0.815","   2.849","   0.791","  45.000","    0","    0"
"11:59:35:899","6283909825710","   3.475","   8.447"," 4386"," 3200"," 4500"," 4763","  37.265"," 132.340","  36.761","  36.041"," 127.721","  35.478"," 85","0"," 68"," 94","   0.694","   2.919","   0.811","  45.000","    0","    0"
"11:59:36:002","6284146581342","   3.578","   7.947"," 4393"," 3600"," 4500"," 4785","  37.000"," 136.142","  37.817","  35.706"," 131.390","  36.497"," 86","0"," 66"," 89","   0.691","   2.990","   0.830","  45.000","    0","    0"
"11:59:36:102","6284377758134","   3.678","   8.436"," 4378"," 3700"," 4500"," 4780","  37.998"," 139.954","  38.876","  36.548"," 135.057","  37.516"," 84","0"," 66"," 91","   0.704","   3.060","   0.850","  45.000","    0","    0"
"11:59:36:203","6284608583416","   3.778","   8.507"," 4362"," 3800"," 4500"," 4780","  37.185"," 143.680","  39.911","  35.952"," 138.659","  38.516"," 86","0"," 68"," 95","   0.701","   3.130","   0.870","  45.000","    0","    0"
"11:59:36:303","6284839475456","   3.879","   7.320"," 4418"," 3800"," 4500"," 4773","  35.698"," 147.257","  40.905","  34.513"," 142.118","  39.477"," 86","0"," 68"," 92","   0.683","   3.199","   0.889","  45.000","    0","    0"
"11:59:36:403","6285070301564","   3.979","   7.023"," 4424"," 3900"," 4500"," 4760","  34.452"," 150.709","  41.864","  33.287"," 145.453","  40.404"," 83","0"," 68"," 86","   0.671","   3.266","   0.907","  45.000","    0","    0"
