"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"11:56:13:992","5818714776636","   0.103","   7.886"," 4250"," 3600"," 4300"," 4794","  25.466","   2.628","   0.730","  24.062","   2.483","   0.690"," 78","0"," 51"," 78","   0.777","   0.080","   0.022","  45.000","    0","    0"
"11:56:14:098","5818958775994","   0.209","   9.213"," 4350"," 3700"," 4500"," 4790","  31.600","   5.974","   1.659","  30.342","   5.696","   1.582"," 71","0"," 52"," 84","   0.830","   0.168","   0.047","  45.000","    0","    0"
"11:56:14:203","5819201253884","   0.314","   8.015"," 4380"," 3600"," 4500"," 4800","  28.985","   9.025","   2.507","  27.755","   8.617","   2.394"," 77","0"," 55"," 82","   0.734","   0.245","   0.068","  45.000","    0","    0"
"11:56:14:308","5819443487970","   0.419","   7.517"," 4518"," 3700"," 4700"," 4800","  31.125","  12.297","   3.416","  30.030","  11.774","   3.271"," 76","0"," 55"," 95","   0.680","   0.317","   0.088","  45.000","    0","    0"
"11:56:14:409","5819674958092","   0.520","  10.308"," 4379"," 3600"," 4700"," 4799","  36.643","  15.978","   4.438","  35.026","  15.293","   4.248"," 74","0"," 56"," 92","   1.013","   0.419","   0.116","  45.000","  350","  333"
"11:56:14:514","5819917253928","   0.625","   7.074"," 4201"," 3500"," 4400"," 4800","  24.937","  18.601","   5.167","  23.658","  17.781","   4.939"," 95","0"," 55"," 98","   0.792","   0.502","   0.139","  45.000","    0","    0"
"11:56:14:615","5820149580006","   0.726","   7.544"," 4074"," 3400"," 4600"," 4800","  23.299","  20.950","   5.819","  21.929","  19.992","   5.553"," 80","0"," 57"," 95","   0.850","   0.588","   0.163","  45.000","    0","    0"
"11:56:14:716","5820384073976","   0.828","   7.741"," 4466"," 3800"," 4600"," 4800","  30.738","  24.078","   6.688","  29.486","  22.993","   6.387"," 85","0"," 57"," 86","   0.700","   0.659","   0.183","  45.000","    0","    0"
"11:56:14:818","5820618343980","   0.929","  14.745"," 4392"," 3600"," 4600"," 4800","  49.537","  29.115","   8.088","  48.673","  27.942","   7.762"," 86","0"," 57"," 91","   0.785","   0.739","   0.205","  45.000","    0","    0"
"11:56:14:918","5820849446500","   1.030","  17.684"," 4347"," 3600"," 4500"," 4800","  57.009","  34.834","   9.676","  55.421","  33.501","   9.306","100","0"," 57","100","   0.891","   0.828","   0.230","  45.000","    0","    0"
"11:56:15:019","5821080785910","   1.130","  16.451"," 4244"," 3400"," 4500"," 4800","  49.582","  39.812","  11.059","  48.520","  38.373","  10.659"," 86","0"," 57","100","   1.015","   0.930","   0.258","  45.000","    0","    0"
"11:56:15:122","5821317760536","   1.233","  15.517"," 4225"," 3500"," 4500"," 4800","  44.036","  44.341","  12.317","  42.574","  42.752","  11.876"," 86","0"," 59"," 93","   1.033","   1.036","   0.288","  45.000","    0","    0"
"11:56:15:222","5821548592742","   1.333","  15.413"," 4326"," 3600"," 4500"," 4800","  48.757","  49.226","  13.674","  47.642","  47.525","  13.201"," 99","0"," 59","100","   0.964","   1.133","   0.315","  45.000","    0","    0"
"11:56:15:327","5821790855386","   1.438","  11.192"," 4380"," 3900"," 4600"," 4796","  38.500","  53.275","  14.798","  37.147","  51.431","  14.286"," 92","0"," 59"," 94","   0.941","   1.232","   0.342","  45.000","    0","    0"
"11:56:15:427","5822022045586","   1.539","   8.479"," 4115"," 1200"," 4600"," 4387","  29.222","  56.207","  15.613","  27.811","  54.222","  15.062"," 84","0"," 59"," 97","   0.850","   1.317","   0.366","  45.000","    0","    0"
"11:56:15:528","5822252936442","   1.639","  11.159"," 4522"," 3700"," 4600"," 4800","  44.067","  60.623","  16.840","  42.821","  58.513","  16.254"," 87","0"," 59"," 95","   0.901","   1.407","   0.391","  45.000","    0","    0"
"11:56:15:628","5822483793096","   1.739","  14.204"," 4372"," 3600"," 4600"," 4800","  48.561","  65.489","  18.191","  47.305","  63.253","  17.570"," 80","0"," 58"," 97","   1.095","   1.517","   0.421","  45.000","    0","    0"
