"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"13:06:19:718","15508559953108","   0.103","   7.713"," 4279"," 3500"," 4400"," 4800","  26.895","   2.771","   0.770","  25.490","   2.626","   0.730"," 85","0"," 61"," 86","   0.764","   0.079","   0.022","  45.000","    0","    0"
"13:06:19:823","15508802475542","   0.208","   9.152"," 4291"," 3600"," 4400"," 4800","  31.318","   6.068","   1.685","  30.183","   5.803","   1.612"," 83","0"," 64"," 94","   0.784","   0.161","   0.045","  45.000","    0","    0"
"13:06:19:924","15509035230656","   0.309","   8.512"," 4365"," 3600"," 4400"," 4789","  30.690","   9.168","   2.547","  29.302","   8.764","   2.434"," 89","0"," 66"," 89","   0.789","   0.241","   0.067","  45.000","    0","    0"
"13:06:20:025","15509268571138","   0.411","   6.864"," 4461"," 4000"," 4600"," 4800","  28.814","  12.086","   3.357","  27.766","  11.576","   3.215"," 89","0"," 66"," 93","   0.650","   0.307","   0.085","  45.000","    0","    0"
"13:06:20:126","15509500297886","   0.511","   9.402"," 4458"," 3700"," 4600"," 4800","  37.267","  15.834","   4.398","  35.871","  15.183","   4.218"," 89","0"," 67"," 93","   0.849","   0.392","   0.109","  45.000","  300","  333"
"13:06:20:231","15509742963106","   0.616","   7.246"," 4134"," 3500"," 4600"," 4800","  25.749","  18.546","   5.152","  24.227","  17.735","   4.926","100","0"," 65","100","   0.851","   0.482","   0.134","  45.000","    0","    0"
"13:06:20:331","15509973747234","   0.717","   7.131"," 4273"," 3600"," 4600"," 4800","  26.764","  21.227","   5.896","  25.457","  20.285","   5.635"," 91","0"," 64","100","   0.886","   0.570","   0.158","  45.000","    0","    0"
"13:06:20:432","15510206489672","   0.818","   7.408"," 4405"," 3800"," 4600"," 4794","  30.696","  24.328","   6.758","  29.231","  23.238","   6.455","100","0"," 66","100","   0.685","   0.640","   0.178","  45.000","    0","    0"
"13:06:20:536","15510445735658","   0.922","  14.395"," 4035"," 3500"," 4600"," 4800","  36.499","  28.118","   7.811","  35.686","  26.943","   7.484"," 86","0"," 65","100","   0.782","   0.721","   0.200","  45.000","    0","    0"
"13:06:20:638","15510680162476","   1.023","  17.866"," 4119"," 3500"," 4600"," 4800","  49.015","  33.105","   9.196","  47.584","  31.785","   8.829","100","0"," 69","100","   0.842","   0.807","   0.224","  45.000","    0","    0"
"13:06:20:738","15510911030632","   1.123","  15.490"," 4281"," 3700"," 4500"," 4800","  48.473","  37.962","  10.545","  47.318","  36.526","  10.146","100","0"," 69","100","   0.979","   0.905","   0.251","  45.000","    0","    0"
"13:06:20:838","15511141808314","   1.224","  19.717"," 4011"," 3200"," 4500"," 4800","  47.985","  42.769","  11.880","  46.296","  41.164","  11.434"," 98","0"," 69","100","   1.330","   1.038","   0.288","  45.000","    0","    0"
"13:06:20:941","15511377751232","   1.326","  16.447"," 4204"," 3500"," 4400"," 4800","  48.057","  47.690","  13.247","  46.463","  45.922","  12.756","100","0"," 69","100","   0.995","   1.140","   0.317","  45.000","    0","    0"
"13:06:21:046","15511620018226","   1.431","  11.465"," 4360"," 3800"," 4600"," 4800","  41.233","  52.026","  14.452","  39.920","  50.119","  13.922","100","0"," 69","100","   0.934","   1.238","   0.344","  45.000","    0","    0"
"13:06:21:151","15511862244962","   1.536","   9.374"," 4325"," 3500"," 4600"," 4795","  34.590","  55.662","  15.462","  33.246","  53.615","  14.893"," 84","0"," 69","100","   1.010","   1.344","   0.373","  45.000","    0","    0"
"13:06:21:256","15512104441984","   1.641","  10.640"," 4354"," 3700"," 4500"," 4800","  38.335","  59.692","  16.581","  37.023","  57.507","  15.974","100","0"," 69","100","   0.861","   1.435","   0.399","  45.000","    0","    0"
"13:06:21:357","15512337796456","   1.743","  14.318"," 4349"," 3700"," 4500"," 4800","  49.228","  64.678","  17.966","  47.603","  62.328","  17.313"," 90","0"," 68","100","   1.101","   1.546","   0.429","  45.000","    0","    0"
