"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"13:06:50:325","15579079270412","   0.100","   7.857"," 4258"," 3600"," 4300"," 4800","  26.438","   2.651","   0.736","  25.127","   2.519","   0.700"," 90","0"," 63"," 90","   0.772","   0.077","   0.021","  45.000","    0","    0"
"13:06:50:430","15579320712952","   0.205","   8.621"," 4299"," 3500"," 4500"," 4800","  30.899","   5.889","   1.636","  29.581","   5.619","   1.561"," 81","0"," 64"," 94","   0.758","   0.157","   0.044","  45.000","    0","    0"
"13:06:50:531","15579551938252","   0.305","   8.892"," 4388"," 3600"," 4500"," 4800","  32.849","   9.185","   2.552","  31.619","   8.792","   2.442"," 92","0"," 66"," 95","   0.834","   0.241","   0.067","  45.000","    0","    0"
"13:06:50:632","15579784599760","   0.406","   7.033"," 4452"," 3300"," 4600"," 4800","  30.230","  12.238","   3.399","  29.022","  11.723","   3.256","100","0"," 65","100","   0.661","   0.307","   0.085","  45.000","    0","    0"
"13:06:50:734","15580020037928","   0.509","   8.880"," 4437"," 3600"," 4600"," 4800","  35.558","  15.872","   4.409","  34.408","  15.239","   4.233"," 83","0"," 66","100","   0.797","   0.389","   0.108","  45.000","  300","  333"
"13:06:50:834","15580251057944","   0.609","   7.421"," 4107"," 3500"," 4600"," 4800","  25.841","  18.463","   5.129","  24.050","  17.651","   4.903"," 92","0"," 67","100","   0.884","   0.478","   0.133","  45.000","    0","    0"
"13:06:50:935","15580483783338","   0.710","   7.395"," 4428"," 3600"," 4600"," 4800","  31.284","  21.623","   6.006","  29.935","  20.674","   5.743"," 83","0"," 67"," 98","   0.871","   0.565","   0.157","  45.000","  350","  333"
"13:06:51:040","15580726330972","   0.815","   7.560"," 4423"," 3900"," 4600"," 4800","  31.120","  24.899","   6.916","  29.888","  23.821","   6.617"," 88","0"," 68"," 97","   0.702","   0.639","   0.178","  45.000","    0","    0"
"13:06:51:145","15580966985724","   0.920","  14.164"," 4194"," 3500"," 4600"," 4800","  42.842","  29.374","   8.159","  42.006","  28.208","   7.836"," 96","0"," 66"," 97","   0.786","   0.721","   0.200","  45.000","    0","    0"
"13:06:51:245","15581198177878","   1.020","  17.711"," 4231"," 3600"," 4600"," 4800","  53.161","  34.708","   9.641","  51.443","  33.370","   9.270"," 97","0"," 68","100","   0.875","   0.809","   0.225","  45.000","    0","    0"
"13:06:51:348","15581435353492","   1.123","  15.473"," 4260"," 3600"," 4500"," 4800","  47.657","  39.614","  11.004","  46.259","  38.132","  10.592","100","0"," 71","100","   0.990","   0.911","   0.253","  45.000","    0","    0"
"13:06:51:449","15581666695662","   1.223","  29.017"," 3716"," 3400"," 4500"," 4800","  49.949","  44.629","  12.397","  48.418","  42.994","  11.943"," 82","0"," 69"," 99","   1.700","   1.082","   0.301","  45.000","    0","    0"
"13:06:51:549","15581898133612","   1.324","  17.068"," 4050"," 3500"," 4300"," 4800","  43.101","  48.959","  13.600","  41.897","  47.202","  13.112","100","0"," 68","100","   1.021","   1.185","   0.329","  45.000","    0","    0"
"13:06:51:653","15582137395026","   1.428","  13.468"," 4276"," 3600"," 4400"," 4800","  43.374","  53.463","  14.851","  41.938","  51.558","  14.322"," 99","0"," 69","100","   0.973","   1.286","   0.357","  45.000","    0","    0"
"13:06:51:757","15582377461418","   1.532","  10.723"," 4335"," 3500"," 4500"," 4800","  39.461","  57.575","  15.993","  37.824","  55.499","  15.416"," 86","0"," 70","100","   1.067","   1.397","   0.388","  45.000","    0","    0"
"13:06:51:858","15582609869772","   1.633","   8.971"," 4366"," 3800"," 4500"," 4800","  34.739","  61.079","  16.966","  33.409","  58.869","  16.352"," 85","0"," 68","100","   0.871","   1.485","   0.412","  45.000","    0","    0"
"13:06:51:958","15582841494530","   1.733","  14.058"," 4433"," 3600"," 4600"," 4797","  52.071","  66.314","  18.420","  50.636","  63.959","  17.766"," 94","0"," 71","100","   1.007","   1.586","   0.441","  45.000","    0","    0"
"13:06:52:059","15583072695102","   1.834","  11.770"," 4267"," 3500"," 4600"," 4796","  39.702","  70.298","  19.527","  38.664","  67.839","  18.844"," 86","0"," 69","100","   1.042","   1.690","   0.470","  45.000","    0","    0"
"13:06:52:164","15583314913992","   1.939","  16.046"," 4144"," 3200"," 4500"," 4800","  45.614","  75.093","  20.859","  43.864","  72.451","  20.125"," 80","0"," 68","100","   1.062","   1.802","   0.501","  45.000","    0","    0"
"13:06:52:269","15583557125844","   2.044","  11.984"," 3915"," 3100"," 4500"," 4800","  29.253","  78.168","  21.713","  28.058","  75.400","  20.944"," 91","0"," 67"," 92","   0.980","   1.905","   0.529","  45.000","    0","    0"
"13:06:52:374","15583798465718","   2.149","   8.909"," 4461"," 3600"," 4600"," 4800","  36.641","  82.006","  22.780","  35.483","  79.117","  21.977"," 96","0"," 69","100","   0.768","   1.986","   0.552","  45.000","    0","    0"
"13:06:52:479","15584040704484","   2.254","   8.022"," 4513"," 3800"," 4600"," 4800","  35.445","  85.733","  23.815","  34.081","  82.700","  22.972"," 95","0"," 69"," 98","   0.787","   2.068","   0.575","  45.000","    0","    0"
"13:06:52:584","15584282896970","   2.359","   7.311"," 3575"," 1900"," 4600"," 3737","  20.290","  87.866","  24.407","  18.634","  84.659","  23.516"," 74","0"," 65","100","   0.782","   2.150","   0.597","  45.000","    0","    0"
"13:06:52:689","15584525175316","   2.464","   9.205"," 4106"," 2000"," 4400"," 4671","  34.565","  91.500","  25.417","  33.166","  88.146","  24.485"," 86","0"," 65"," 87","   0.832","   2.238","   0.622","  45.000","    0","    0"
"13:06:52:791","15584759376864","   2.566","  10.698"," 4255"," 1900"," 4400"," 4752","  41.355","  95.704","  26.585","  40.374","  92.250","  25.625"," 89","0"," 68"," 92","   0.755","   2.315","   0.643","  45.000","    0","    0"
"13:06:52:891","15584990502792","   2.666","  10.352"," 4290"," 3300"," 4500"," 4785","  42.483","  99.966","  27.768","  40.892","  96.353","  26.765"," 88","0"," 69"," 95","   0.747","   2.390","   0.664","  45.000","    0","    0"
"13:06:52:991","15585221315168","   2.766","   9.116"," 4343"," 3100"," 4500"," 4785","  39.468"," 103.920","  28.867","  38.287"," 100.188","  27.830"," 90","0"," 68","100","   0.706","   2.460","   0.683","  45.000","    0","    0"
"13:06:53:092","15585452674566","   2.867","   8.945"," 4364"," 2000"," 4500"," 4774","  39.422"," 107.878","  29.966","  38.323"," 104.036","  28.899"," 87","0"," 69"," 96","   0.738","   2.534","   0.704","  45.000","    0","    0"
"13:06:53:192","15585683773188","   2.967","   8.484"," 4254"," 2000"," 4500"," 4745","  36.541"," 111.544","  30.984","  35.430"," 107.590","  29.886"," 89","0"," 68"," 94","   0.714","   2.606","   0.724","  45.000","    0","    0"
"13:06:53:292","15585914657824","   3.067","  13.024"," 4188"," 2200"," 4400"," 4782","  45.217"," 116.075","  32.243","  43.625"," 111.962","  31.100"," 92","0"," 68","100","   0.828","   2.689","   0.747","  45.000","    0","    0"
"13:06:53:392","15586145498060","   3.167","   7.580"," 4354"," 2400"," 4500"," 4759","  35.276"," 119.609","  33.225","  33.993"," 115.368","  32.047"," 87","0"," 69"," 96","   0.687","   2.758","   0.766","  45.000","    0","    0"
"13:06:53:496","15586385170476","   3.271","   7.590"," 4370"," 2100"," 4500"," 4746","  36.283"," 123.383","  34.273","  35.058"," 119.014","  33.060"," 95","0"," 68"," 95","   0.699","   2.831","   0.786","  45.000","    0","    0"
"13:06:53:597","15586616355992","   3.372","   8.939"," 4352"," 2100"," 4500"," 4772","  39.603"," 127.357","  35.377","  38.519"," 122.879","  34.133"," 90","0"," 69"," 99","   0.726","   2.903","   0.807","  45.000","  350","  333"
"13:06:53:697","15586847202606","   3.472","   9.319"," 4342"," 3200"," 4500"," 4777","  40.779"," 131.443","  36.512","  38.960"," 126.783","  35.217"," 88","0"," 68"," 96","   0.814","   2.985","   0.829","  45.000","    0","    0"
"13:06:53:802","15587089343602","   3.577","   9.570"," 4289"," 3300"," 4400"," 4790","  39.595"," 135.604","  37.668","  38.320"," 130.810","  36.336"," 87","0"," 68"," 93","   0.724","   3.061","   0.850","  45.000","    0","    0"
"13:06:53:902","15587320451020","   3.677","   7.655"," 4337"," 3400"," 4500"," 4766","  33.877"," 139.002","  38.612","  32.722"," 134.092","  37.248"," 89","0"," 68"," 90","   0.689","   3.130","   0.869","  45.000","    0","    0"
"13:06:54:003","15587551402040","   3.777","   8.350"," 4373"," 3500"," 4500"," 4769","  38.742"," 142.886","  39.691","  37.660"," 137.867","  38.297"," 88","0"," 68","100","   0.698","   3.200","   0.889","  45.000","    0","    0"
"13:06:54:103","15587782464320","   3.878","   8.481"," 4379"," 3600"," 4500"," 4785","  38.836"," 146.781","  40.772","  37.573"," 141.636","  39.343"," 88","0"," 69"," 97","   0.696","   3.270","   0.908","  45.000","    0","    0"
"13:06:54:203","15588013178252","   3.978","   7.870"," 4381"," 2500"," 4500"," 4746","  37.807"," 150.566","  41.824","  36.250"," 145.266","  40.352"," 99","0"," 70"," 99","   0.689","   3.339","   0.927","  45.000","    0","    0"
"13:06:54:303","15588244046384","   4.078","   7.701"," 4377"," 2200"," 4500"," 4747","  36.536"," 154.227","  42.841","  35.356"," 148.808","  41.336"," 87","0"," 70","100","   0.697","   3.409","   0.947","  45.000","    0","    0"
"13:06:54:404","15588475065310","   4.178","   7.669"," 4399"," 3300"," 4500"," 4763","  37.087"," 157.946","  43.874","  35.924"," 152.410","  42.336"," 87","0"," 69"," 91","   0.692","   3.478","   0.966","  45.000","    0","    0"
"13:06:54:504","15588705881826","   4.279","   7.146"," 4416"," 2900"," 4500"," 4751","  35.641"," 161.517","  44.866","  34.471"," 155.864","  43.295"," 87","0"," 70"," 92","   0.683","   3.547","   0.985","  45.000","    0","    0"
"13:06:54:607","15588943181952","   4.382","   7.481"," 4381"," 2600"," 4500"," 4737","  35.898"," 165.214","  45.893","  34.463"," 159.413","  44.281"," 87","0"," 69"," 91","   0.753","   3.624","   1.007","  45.000","    0","    0"
"13:06:54:712","15589185628834","   4.487","   7.256"," 4375"," 2500"," 4500"," 4747","  35.292"," 168.928","  46.924","  34.085"," 163.000","  45.278"," 89","0"," 69"," 89","   0.700","   3.698","   1.027","  45.000","    0","    0"
"13:06:54:816","15589425386130","   4.591","   7.902"," 4361"," 2200"," 4500"," 4752","  37.526"," 172.833","  48.009","  35.896"," 166.735","  46.315"," 88","0"," 69"," 99","   0.720","   3.773","   1.048","  45.000","    0","    0"
"13:06:54:921","15589667684912","   4.696","   7.066"," 4414"," 2200"," 4500"," 4757","  36.056"," 176.624","  49.062","  34.798"," 170.395","  47.332"," 89","0"," 71"," 91","   0.674","   3.843","   1.068","  45.000","    0","    0"
"13:06:55:024","15589905320360","   4.799","   7.588"," 4354"," 2200"," 4500"," 4713","  36.069"," 180.345","  50.096","  34.888"," 173.993","  48.331"," 88","0"," 69"," 91","   0.692","   3.915","   1.087","  45.000","    0","    0"
"13:06:55:127","15590140995236","   4.901","   7.333"," 4406"," 2300"," 4500"," 4768","  36.183"," 184.046","  51.124","  35.013"," 177.575","  49.326"," 91","0"," 70"," 97","   0.683","   3.985","   1.107","  45.000","    0","    0"
"13:06:55:232","15590383367024","   5.007","   7.492"," 4364"," 2900"," 4500"," 4731","  35.875"," 187.820","  52.172","  34.621"," 181.217","  50.338"," 87","0"," 70"," 91","   0.705","   4.059","   1.127","  45.000","    0","    0"
"13:06:55:334","15590619020724","   5.109","   6.813"," 4408"," 2500"," 4500"," 4736","  34.830"," 191.382","  53.162","  33.354"," 184.628","  51.286"," 89","0"," 71"," 91","   0.672","   4.128","   1.147","  45.000","    0","    0"
"13:06:55:439","15590861550050","   5.214","   7.241"," 4381"," 2300"," 4500"," 4751","  35.912"," 195.162","  54.212","  34.730"," 188.284","  52.301"," 88","0"," 71"," 94","   0.683","   4.200","   1.167","  45.000","    0","    0"
"13:06:55:545","15591103796596","   5.319","   6.950"," 4418"," 2900"," 4500"," 4746","  35.441"," 198.888","  55.247","  34.216"," 191.882","  53.300"," 91","0"," 70"," 91","   0.676","   4.271","   1.186","  45.000","    0","    0"
"13:06:55:645","15591334800740","   5.420","   7.726"," 4293"," 2000"," 4500"," 4770","  35.254"," 202.423","  56.229","  33.869"," 195.277","  54.244"," 89","0"," 69"," 91","   0.794","   4.350","   1.208","  45.000","    0","    0"
"13:06:55:750","15591577071246","   5.525","   7.443"," 4360"," 2800"," 4500"," 4752","  34.296"," 206.029","  57.230","  33.098"," 198.758","  55.210"," 87","0"," 70"," 92","   0.697","   4.424","   1.229","  45.000","    0","    0"
"13:06:55:855","15591819234214","   5.630","   6.824"," 4388"," 3700"," 4500"," 4752","  34.374"," 209.642","  58.234","  32.850"," 202.210","  56.170"," 88","0"," 70"," 90","   0.668","   4.494","   1.248","  45.000","    0","    0"
"13:06:55:957","15592054881774","   5.732","   6.960"," 4424"," 2500"," 4500"," 4765","  35.454"," 213.268","  59.241","  34.292"," 205.718","  57.144"," 89","0"," 71"," 91","   0.670","   4.562","   1.267","  45.000","    0","    0"
"13:06:56:062","15592297142350","   5.837","   7.677"," 4340"," 3300"," 4500"," 4760","  35.974"," 217.051","  60.292","  34.745"," 209.371","  58.159"," 89","0"," 70"," 91","   0.693","   4.635","   1.288","  45.000","    0","    0"
"13:06:56:168","15592539325970","   5.942","   9.934"," 4270"," 1900"," 4500"," 4766","  39.870"," 221.242","  61.456","  38.575"," 213.426","  59.285"," 89","0"," 70","100","   0.757","   4.715","   1.310","  45.000","    0","    0"
"13:06:56:273","15592781514922","   6.047","   7.160"," 4349"," 3800"," 4500"," 4750","  33.624"," 224.776","  62.438","  32.381"," 216.829","  60.230"," 88","0"," 71"," 92","   0.683","   4.787","   1.330","  45.000","    0","    0"
"13:06:56:378","15593023666438","   6.153","   6.889"," 4425"," 3900"," 4500"," 4766","  34.946"," 228.449","  63.458","  33.757"," 220.377","  61.216"," 88","0"," 71"," 91","   0.669","   4.857","   1.349","  45.000","    0","    0"
"13:06:56:483","15593265913468","   6.258","   7.174"," 4418"," 3700"," 4500"," 4768","  36.233"," 232.259","  64.516","  34.947"," 224.052","  62.237"," 91","0"," 70"," 91","   0.687","   4.929","   1.369","  45.000","    0","    0"
"13:06:56:588","15593508080908","   6.363","   7.019"," 4389"," 2300"," 4500"," 4734","  35.639"," 236.005","  65.557","  34.150"," 227.641","  63.234"," 90","0"," 71"," 91","   0.679","   5.001","   1.389","  45.000","    0","    0"
"13:06:56:690","15593743294006","   6.465","   7.764"," 4323"," 3100"," 4500"," 4760","  36.155"," 239.696","  66.582","  34.666"," 231.180","  64.217"," 88","0"," 70"," 90","   0.792","   5.081","   1.412","  45.000","    0","    0"
"13:06:56:792","15593977025536","   6.566","   7.461"," 4338"," 3800"," 4500"," 4765","  34.112"," 243.156","  67.543","  32.963"," 234.524","  65.146"," 90","0"," 70"," 94","   0.690","   5.151","   1.431","  45.000","    0","    0"
"13:06:56:897","15594219244678","   6.672","   6.850"," 4413"," 2000"," 4500"," 4753","  35.080"," 246.844","  68.568","  33.868"," 238.085","  66.135"," 90","0"," 72"," 91","   0.664","   5.221","   1.450","  45.000","    0","    0"
"13:06:57:002","15594461422892","   6.777","   7.033"," 4412"," 3700"," 4500"," 4759","  35.695"," 250.596","  69.610","  34.463"," 241.707","  67.141"," 91","0"," 71"," 92","   0.683","   5.293","   1.470","  45.000","    0","    0"
"13:06:57:107","15594703637388","   6.882","   7.060"," 4392"," 2200"," 4500"," 4754","  35.425"," 254.320","  70.645","  34.226"," 245.305","  68.140"," 91","0"," 70"," 93","   0.677","   5.364","   1.490","  45.000","    0","    0"
"13:06:57:208","15594937305394","   6.983","   7.195"," 4386"," 2000"," 4600"," 4724","  35.828"," 257.954","  71.654","  34.187"," 248.772","  69.103"," 86","0"," 70"," 96","   0.785","   5.444","   1.512","  45.000","  300","  333"
"13:06:57:310","15595170763838","   7.085","   8.745"," 4379"," 2300"," 4600"," 4784","  39.898"," 261.997","  72.777","  38.653"," 252.689","  70.191"," 93","0"," 70","100","   0.758","   5.521","   1.534","  45.000","    0","    0"
"13:06:57:411","15595402995728","   7.185","   9.995"," 4202"," 2500"," 4500"," 4786","  38.865"," 265.914","  73.865","  37.580"," 256.477","  71.244"," 98","0"," 70","100","   0.774","   5.599","   1.555","  45.000","    0","    0"
"13:06:57:513","15595638312828","   7.287","   9.624"," 4342"," 2200"," 4500"," 4782","  41.886"," 270.192","  75.053","  40.610"," 260.625","  72.396"," 96","0"," 70","100","   0.784","   5.679","   1.577","  45.000","    0","    0"
"13:06:57:616","15595877208520","   7.391","  10.766"," 4240"," 3700"," 4500"," 4789","  41.768"," 274.523","  76.256","  40.204"," 264.793","  73.554"," 97","0"," 70","100","   0.883","   5.770","   1.603","  45.000","    0","    0"
"13:06:57:721","15596117743564","   7.496","   9.035"," 4321"," 2100"," 4500"," 4788","  40.415"," 278.742","  77.428","  39.352"," 268.902","  74.695"," 97","0"," 70","100","   0.769","   5.851","   1.625","  45.000","    0","    0"
"13:06:57:824","15596354809504","   7.598","   9.990"," 4136"," 2200"," 4400"," 4704","  36.963"," 282.546","  78.485","  35.452"," 272.549","  75.708"," 92","0"," 71","100","   0.768","   5.930","   1.647","  45.000","    0","    0"
"13:06:57:924","15596585616092","   7.699","   9.172"," 4260"," 1900"," 4500"," 4737","  38.011"," 286.353","  79.543","  36.931"," 276.249","  76.736","100","0"," 70","100","   0.751","   6.005","   1.668","  45.000","    0","    0"
"13:06:58:024","15596816695124","   7.799","   8.225"," 4311"," 2000"," 4500"," 4775","  38.438"," 290.208","  80.613","  36.861"," 279.946","  77.763"," 96","0"," 71","100","   0.745","   6.080","   1.689","  45.000","    0","    0"
"13:06:58:124","15597047953814","   7.899","   9.315"," 4373"," 2300"," 4600"," 4778","  42.366"," 294.461","  81.795","  41.259"," 284.087","  78.913","100","0"," 71","100","   0.773","   6.157","   1.710","  45.000","    0","    0"
