"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"11:27:14:251","5525022606112","   0.105","   8.379"," 4240"," 3700"," 4400"," 4768","  28.063","   2.949","   0.819","  26.732","   2.809","   0.780"," 94","0"," 62"," 94","   0.815","   0.086","   0.024","  45.000","    0","    0"
"11:27:14:359","5525270111954","   0.213","   9.030"," 4308"," 3600"," 4400"," 4800","  30.828","   6.261","   1.739","  29.679","   5.998","   1.666"," 82","0"," 62"," 95","   0.815","   0.173","   0.048","  45.000","    0","    0"
"11:27:14:464","5525512149230","   0.318","   7.939"," 4382"," 3600"," 4500"," 4794","  29.555","   9.366","   2.602","  28.328","   8.974","   2.493"," 90","0"," 64"," 90","   0.691","   0.246","   0.068","  45.000","    0","    0"
"11:27:14:567","5525751107302","   0.421","   7.397"," 4474"," 3800"," 4600"," 4800","  30.579","  12.537","   3.483","  29.335","  12.016","   3.338"," 84","0"," 65"," 92","   0.674","   0.316","   0.088","  45.000","    0","    0"
"11:27:14:669","5525984736516","   0.523","   9.192"," 4167"," 3500"," 4600"," 4679","  29.996","  15.579","   4.327","  28.675","  14.924","   4.145"," 79","0"," 64","100","   0.916","   0.409","   0.114","  45.000","    0","    0"
"11:27:14:774","5526227055034","   0.628","   6.412"," 4265"," 3500"," 4600"," 4800","  25.116","  18.220","   5.061","  23.736","  17.420","   4.839"," 79","0"," 65"," 97","   0.724","   0.485","   0.135","  45.000","    0","    0"
"11:27:14:874","5526457983916","   0.728","   6.750"," 4455"," 3600"," 4600"," 4800","  28.985","  21.126","   5.868","  27.853","  20.212","   5.614"," 96","0"," 63"," 96","   0.768","   0.562","   0.156","  45.000","    0","    0"
"11:27:14:979","5526698610666","   0.833","   7.252"," 4496"," 3600"," 4600"," 4800","  33.725","  24.648","   6.847","  32.641","  23.621","   6.561"," 79","0"," 66","100","   0.810","   0.646","   0.180","  45.000","    0","    0"
"11:27:15:079","5526929709828","   0.933","   8.138"," 4556"," 3900"," 4600"," 4800","  36.568","  28.316","   7.865","  35.128","  27.144","   7.540"," 95","0"," 67"," 96","   0.710","   0.718","   0.199","  45.000","    0","    0"
"11:27:15:179","5527160886804","   1.033","   8.720"," 4480"," 3700"," 4600"," 4800","  36.968","  32.025","   8.896","  35.683","  30.725","   8.535"," 91","0"," 65","100","   0.847","   0.803","   0.223","  45.000","    0","    0"
"11:27:15:284","5527403378244","   1.138","   7.653"," 4491"," 3600"," 4600"," 4800","  33.042","  35.503","   9.862","  31.856","  34.077","   9.466"," 89","0"," 65"," 98","   0.714","   0.878","   0.244","  45.000","    0","    0"
