"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"10:58:02:304","1488349528820","   0.100","   8.182"," 4322"," 3700"," 4400"," 4800","  28.429","   2.851","   0.792","  27.095","   2.717","   0.755"," 85","0"," 56"," 86","   0.796","   0.080","   0.022","  45.000","    0","    0"
"10:58:02:412","1488598686588","   0.208","   9.197"," 4345"," 3600"," 4500"," 4800","  32.121","   6.324","   1.757","  30.905","   6.059","   1.683"," 69","0"," 57"," 85","   0.821","   0.169","   0.047","  45.000","  350","  333"
"10:58:02:512","1488829639804","   0.309","  10.942"," 4021"," 1200"," 4500"," 4404","  29.651","   9.297","   2.582","  28.394","   8.906","   2.474"," 72","0"," 57"," 91","   0.909","   0.260","   0.072","  45.000","    0","    0"
"10:58:02:616","1489069549836","   0.413","   8.479"," 4332"," 3500"," 4500"," 4800","  29.007","  12.317","   3.421","  27.800","  11.800","   3.278"," 82","0"," 57"," 87","   0.747","   0.337","   0.094","  45.000","    0","    0"
"10:58:02:718","1489305251882","   0.515","   8.963"," 4410"," 3500"," 4600"," 4757","  33.633","  15.758","   4.377","  32.174","  15.092","   4.192"," 72","0"," 61"," 91","   0.829","   0.422","   0.117","  45.000","    0","    0"
"10:58:02:819","1489537701390","   0.616","   7.415"," 4095"," 3500"," 4400"," 4800","  23.904","  18.169","   5.047","  22.505","  17.362","   4.823"," 90","0"," 59"," 90","   0.786","   0.502","   0.139","  45.000","    0","    0"
"10:58:02:925","1489779930760","   0.721","   6.651"," 4215"," 3000"," 4500"," 4767","  23.099","  20.598","   5.722","  21.955","  19.671","   5.464"," 82","0"," 59"," 86","   0.831","   0.589","   0.164","  45.000","    0","    0"
"10:58:03:025","1490011177530","   0.821","   9.529"," 4418"," 3600"," 4600"," 4800","  37.950","  24.407","   6.780","  36.853","  23.369","   6.491","100","0"," 60","100","   0.847","   0.674","   0.187","  45.000","    0","    0"
"10:58:03:125","1490242176002","   0.922","  10.396"," 4055"," 3500"," 4600"," 4800","  29.187","  27.333","   7.593","  27.884","  26.165","   7.268"," 78","0"," 61","100","   0.937","   0.768","   0.213","  45.000","    0","    0"
"10:58:03:225","1490473388094","   1.022","   8.555"," 4265"," 3700"," 4400"," 4800","  27.877","  30.131","   8.370","  26.494","  28.824","   8.007"," 75","0"," 59"," 89","   0.772","   0.845","   0.235","  45.000","    0","    0"
