"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"10:58:17:629","1523658494282","   0.102","   8.024"," 4025"," 1900"," 4400"," 4513","  23.097","   2.351","   0.653","  21.946","   2.233","   0.620"," 91","0"," 60"," 91","   0.744","   0.076","   0.021","  45.000","    0","    0"
"10:58:17:735","1523902795494","   0.208","   8.879"," 4306"," 3600"," 4400"," 4800","  30.935","   5.631","   1.564","  29.862","   5.400","   1.500"," 86","0"," 61"," 96","   0.779","   0.158","   0.044","  45.000","    0","    0"
"10:58:17:835","1524134397616","   0.308","  10.314"," 4336"," 3500"," 4400"," 4795","  33.092","   8.957","   2.488","  31.452","   8.561","   2.378"," 83","0"," 62"," 83","   0.975","   0.256","   0.071","  45.000","    0","    0"
"10:58:17:940","1524376689996","   0.413","   7.594"," 4401"," 3600"," 4600"," 4800","  28.429","  11.947","   3.319","  27.346","  11.437","   3.177"," 87","0"," 64"," 87","   0.683","   0.328","   0.091","  45.000","    0","    0"
"10:58:18:043","1524614309750","   0.517","   8.732"," 4445"," 3600"," 4600"," 4800","  34.453","  15.500","   4.306","  33.105","  14.851","   4.125"," 88","0"," 64"," 93","   0.844","   0.415","   0.115","  45.000","    0","    0"
"10:58:18:144","1524845351384","   0.617","   6.877"," 4198"," 3500"," 4500"," 4800","  25.282","  18.035","   5.010","  24.089","  17.267","   4.796"," 84","0"," 63","100","   0.738","   0.489","   0.136","  45.000","    0","    0"
"10:58:18:249","1525087560196","   0.722","   6.858"," 4369"," 3600"," 4600"," 4800","  27.508","  20.927","   5.813","  25.969","  19.997","   5.555"," 93","0"," 64"," 93","   0.880","   0.582","   0.162","  45.000","    0","    0"
"10:58:18:352","1525325852840","   0.825","   6.349"," 4427"," 3600"," 4600"," 4800","  28.678","  23.893","   6.637","  27.614","  22.853","   6.348","100","0"," 65","100","   0.716","   0.656","   0.182","  45.000","    0","    0"
"10:58:18:453","1525557633770","   0.926","   9.211"," 4147"," 3500"," 4600"," 4800","  30.182","  26.929","   7.480","  28.829","  25.753","   7.154"," 89","0"," 64","100","   0.813","   0.738","   0.205","  45.000","    0","    0"
"10:58:18:553","1525788588252","   1.026","   8.512"," 4367"," 3700"," 4600"," 4800","  31.572","  30.094","   8.359","  30.404","  28.801","   8.000"," 95","0"," 64"," 96","   0.786","   0.816","   0.227","  45.000","    0","    0"
"10:58:18:658","1526029632158","   1.131","   7.607"," 4514"," 3800"," 4600"," 4800","  33.390","  33.587","   9.330","  31.982","  32.147","   8.930"," 84","0"," 65"," 98","   0.744","   0.894","   0.248","  45.000","    0","    0"
"10:58:18:758","1526260841546","   1.231","  11.377"," 4289"," 3600"," 4500"," 4800","  38.395","  37.440","  10.400","  37.112","  35.871","   9.964"," 96","0"," 63","100","   0.866","   0.981","   0.273","  45.000","    0","    0"
"10:58:18:858","1526492135022","   1.332","  19.949"," 4195"," 3500"," 4500"," 4800","  55.649","  43.027","  11.952","  54.518","  41.344","  11.484"," 96","0"," 63","100","   0.946","   1.076","   0.299","  45.000","    0","    0"
"10:58:18:960","1526726974698","   1.434","  17.994"," 4215"," 3600"," 4400"," 4800","  52.684","  48.397","  13.444","  51.264","  46.569","  12.936","100","0"," 67","100","   1.053","   1.184","   0.329","  45.000","    0","    0"
"10:58:19:064","1526964930542","   1.537","  13.872"," 4246"," 3600"," 4400"," 4800","  42.939","  52.832","  14.675","  41.399","  50.845","  14.124"," 94","0"," 65","100","   1.106","   1.298","   0.360","  45.000","    0","    0"
"10:58:19:164","1527195813480","   1.637","  16.102"," 4293"," 3500"," 4500"," 4800","  51.276","  57.970","  16.103","  49.723","  55.828","  15.508","100","0"," 66","100","   0.951","   1.393","   0.387","  45.000","    0","    0"
"10:58:19:265","1527429905686","   1.739","  12.119"," 4371"," 3600"," 4500"," 4800","  43.331","  62.372","  17.326","  42.191","  60.114","  16.698"," 93","0"," 66","100","   0.980","   1.493","   0.415","  45.000","    0","    0"
"10:58:19:366","1527660895126","   1.839","   8.402"," 4336"," 3600"," 4500"," 4794","  32.334","  65.614","  18.226","  30.849","  63.207","  17.558"," 89","0"," 66","100","   0.880","   1.581","   0.439","  45.000","    0","    0"
"10:58:19:468","1527896820198","   1.941","  10.619"," 4342"," 3600"," 4600"," 4796","  37.857","  69.491","  19.303","  36.675","  66.963","  18.601"," 98","0"," 65","100","   0.898","   1.673","   0.465","  45.000","    0","    0"
"10:58:19:568","1528127664598","   2.041","  13.387"," 4333"," 3800"," 4600"," 4800","  45.758","  74.075","  20.576","  44.456","  71.417","  19.838","100","0"," 65","100","   1.024","   1.775","   0.493","  45.000","    0","    0"
"10:58:19:669","1528358620960","   2.142","  16.002"," 4270"," 3500"," 4600"," 4800","  50.761","  79.164","  21.990","  49.534","  76.382","  21.217"," 88","0"," 66","100","   1.045","   1.880","   0.522","  45.000","    0","    0"
"10:58:19:769","1528589929168","   2.242","  15.923"," 3899"," 3500"," 4500"," 4800","  36.662","  82.844","  23.012","  34.888","  79.885","  22.190"," 89","0"," 68"," 96","   1.131","   1.994","   0.554","  45.000","    0","    0"

"Total Elapsed Time (sec) = 2.242128"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 82.844177"
"Cumulative Package Energy_0 (mWh) = 23.012271"
"Average Package Power_0 (Watt) = 36.948912"

"Cumulative IA Energy_0 (Joules) = 79.884827"
"Cumulative IA Energy_0 (mWh) = 22.190230"
"Average Package IA_0 (Watt) = 35.629027"

"Cumulative DRAM Energy_0 (Joules) = 1.993774"
"Cumulative DRAM Energy_0 (mWh) = 0.553826"
"Average Package DRAM_0 (Watt) = 0.889233"
