"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"11:46:23:402","4457993814670","   0.103","   7.932"," 4264"," 3600"," 4300"," 4800","  25.749","   2.654","   0.737","  24.378","   2.513","   0.698"," 77","0"," 54"," 79","   0.780","   0.080","   0.022","  45.000","    0","    0"
"11:46:23:507","4458235486850","   0.208","   9.144"," 4368"," 3500"," 4500"," 4795","  32.037","   6.015","   1.671","  30.886","   5.753","   1.598"," 73","0"," 57"," 84","   0.802","   0.165","   0.046","  45.000","    0","    0"
"11:46:23:607","4458466533444","   0.308","   8.629"," 4365"," 3600"," 4500"," 4800","  30.078","   9.031","   2.509","  28.737","   8.635","   2.398"," 72","0"," 59"," 82","   0.791","   0.244","   0.068","  45.000","    0","    0"
"11:46:23:709","4458702160550","   0.411","   7.316"," 4540"," 4000"," 4600"," 4800","  31.290","  12.231","   3.398","  30.202","  11.723","   3.256"," 84","0"," 60"," 96","   0.667","   0.312","   0.087","  45.000","    0","    0"
"11:46:23:810","4458934370802","   0.511","   9.072"," 4426"," 3600"," 4600"," 4793","  35.400","  15.799","   4.389","  34.009","  15.151","   4.209"," 80","0"," 59"," 96","   0.873","   0.400","   0.111","  45.000","  350","  333"
"11:46:23:915","4459176729728","   0.617","   7.240"," 4196"," 3500"," 4600"," 4800","  25.752","  18.508","   5.141","  24.315","  17.709","   4.919","100","0"," 57","100","   0.802","   0.484","   0.135","  45.000","    0","    0"
"11:46:24:016","4459408345270","   0.717","   7.160"," 4177"," 3600"," 4400"," 4800","  24.332","  20.954","   5.820","  22.837","  20.004","   5.557"," 91","0"," 59","100","   0.874","   0.572","   0.159","  45.000","    0","    0"
"11:46:24:121","4459650572346","   0.822","   7.325"," 4462"," 3900"," 4600"," 4800","  29.657","  24.072","   6.687","  28.565","  23.008","   6.391"," 88","0"," 60"," 96","   0.671","   0.643","   0.179","  45.000","    0","    0"
"11:46:24:221","4459881492780","   0.922","  15.510"," 4271"," 3600"," 4600"," 4800","  47.455","  28.828","   8.008","  46.410","  27.659","   7.683"," 79","0"," 60"," 92","   0.817","   0.725","   0.201","  45.000","    0","    0"
"11:46:24:321","4460112534498","   1.023","  17.662"," 4306"," 3700"," 4500"," 4800","  53.106","  34.153","   9.487","  51.509","  32.824","   9.118"," 83","0"," 64"," 95","   0.898","   0.815","   0.226","  45.000","    0","    0"
