"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"13:26:48:152","18338909020876","   0.104","  21.284"," 3693"," 3100"," 4300"," 4800","  36.203","   3.763","   1.045","  34.343","   3.570","   0.992"," 74","0"," 60"," 82","   1.390","   0.144","   0.040","  45.000","    0","    0"
"13:26:48:262","18339162408704","   0.214","   7.756"," 4331"," 3600"," 4400"," 4800","  28.184","   6.863","   1.906","  27.034","   6.543","   1.818"," 82","0"," 61"," 84","   0.703","   0.222","   0.062","  45.000","    0","    0"
"13:26:48:362","18339393223344","   0.314","   9.209"," 4365"," 3600"," 4500"," 4795","  33.469","  10.216","   2.838","  32.108","   9.760","   2.711"," 88","0"," 64"," 89","   0.846","   0.307","   0.085","  45.000","    0","    0"
"13:26:48:467","18339635465754","   0.419","   7.829"," 4385"," 3500"," 4600"," 4800","  29.062","  13.271","   3.686","  27.917","  12.695","   3.526"," 85","0"," 63"," 91","   0.689","   0.379","   0.105","  45.000","    0","    0"
"13:26:48:568","18339866240182","   0.519","   8.610"," 4377"," 3100"," 4600"," 4703","  32.770","  16.554","   4.598","  31.380","  15.838","   4.399"," 85","0"," 65","100","   0.741","   0.453","   0.126","  45.000","    0","    0"
"13:26:48:673","18340108781646","   0.625","   8.310"," 4180"," 3500"," 4600"," 4800","  29.588","  19.668","   5.463","  28.000","  18.785","   5.218","100","0"," 62","100","   0.962","   0.554","   0.154","  45.000","    0","    0"
"13:26:48:773","18340339539788","   0.725","   6.953"," 4323"," 3800"," 4600"," 4800","  27.032","  22.376","   6.215","  25.780","  21.367","   5.935"," 84","0"," 63","100","   0.812","   0.636","   0.177","  45.000","    0","    0"
"13:26:48:878","18340581982754","   0.830","   7.462"," 4529"," 3600"," 4600"," 4800","  34.036","  25.957","   7.210","  32.784","  24.817","   6.894","100","0"," 64","100","   0.728","   0.712","   0.198","  45.000","    0","    0"
"13:26:48:980","18340816545504","   0.932","  12.072"," 4239"," 3500"," 4500"," 4800","  38.623","  29.889","   8.303","  37.577","  28.643","   7.956"," 95","0"," 64","100","   0.720","   0.786","   0.218","  45.000","    0","    0"
"13:26:49:080","18341047413998","   1.032","  18.544"," 4253"," 3600"," 4500"," 4800","  55.498","  35.450","   9.847","  54.360","  34.090","   9.469","100","0"," 67","100","   0.869","   0.873","   0.242","  45.000","    0","    0"
"13:26:49:181","18341280328578","   1.133","  15.542"," 4273"," 3600"," 4600"," 4800","  49.964","  40.501","  11.250","  48.582","  39.001","  10.834","100","0"," 67","100","   0.988","   0.973","   0.270","  45.000","    0","    0"
