"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"13:03:11:631","15075214364544","   0.103","   8.742"," 4018"," 2400"," 4400"," 4430","  25.117","   2.577","   0.716","  23.597","   2.421","   0.673"," 78","0"," 54"," 84","   0.856","   0.088","   0.024","  45.000","    0","    0"
"13:03:11:738","15075460677598","   0.210","   9.137"," 4373"," 3500"," 4500"," 4800","  32.342","   6.035","   1.676","  31.102","   5.746","   1.596"," 71","0"," 56"," 87","   0.823","   0.176","   0.049","  45.000","    0","    0"
"13:03:11:839","15075692531080","   0.310","   8.870"," 4293"," 3200"," 4500"," 4800","  28.849","   8.938","   2.483","  27.702","   8.534","   2.370"," 76","0"," 57"," 82","   0.835","   0.260","   0.072","  45.000","    0","    0"
"13:03:11:942","15075929640848","   0.413","   7.495"," 4473"," 3700"," 4700"," 4800","  29.892","  12.014","   3.337","  28.710","  11.488","   3.191"," 76","0"," 58"," 86","   0.676","   0.329","   0.092","  45.000","    0","    0"
"13:03:12:042","15076160599726","   0.513","  10.249"," 4352"," 3500"," 4600"," 4795","  36.372","  15.660","   4.350","  35.329","  15.030","   4.175"," 84","0"," 58"," 89","   0.886","   0.418","   0.116","  45.000","    0","    0"
"13:03:12:147","15076401081224","   0.618","   9.439"," 4037"," 3500"," 4600"," 4800","  27.937","  18.576","   5.160","  25.717","  17.714","   4.921"," 72","0"," 56"," 85","   1.174","   0.541","   0.150","  45.000","    0","    0"
"13:03:12:247","15076631995530","   0.718","   7.712"," 4093"," 3500"," 4400"," 4742","  24.104","  20.992","   5.831","  22.666","  19.986","   5.552"," 69","0"," 56"," 86","   0.939","   0.635","   0.176","  45.000","    0","    0"
"13:03:12:347","15076862860218","   0.818","   7.984"," 4336"," 3600"," 4400"," 4788","  27.960","  23.793","   6.609","  26.946","  22.686","   6.302"," 91","0"," 57"," 91","   0.708","   0.706","   0.196","  45.000","    0","    0"
"13:03:12:447","15077094418340","   0.919","  12.574"," 4308"," 3800"," 4500"," 4800","  41.174","  27.931","   7.759","  39.767","  26.682","   7.412"," 93","0"," 57","100","   0.762","   0.782","   0.217","  45.000","    0","    0"
"13:03:12:550","15077331467638","   1.021","  18.483"," 4321"," 3600"," 4600"," 4800","  57.758","  33.874","   9.409","  56.881","  32.535","   9.037"," 99","0"," 62","100","   0.860","   0.871","   0.242","  45.000","    0","    0"
"13:03:12:655","15077572931338","   1.126","  15.731"," 4368"," 3700"," 4600"," 4800","  52.347","  39.360","  10.933","  51.044","  37.884","  10.523"," 90","0"," 63","100","   1.020","   0.978","   0.272","  45.000","    0","    0"
"13:03:12:756","15077805682360","   1.227","  17.987"," 4113"," 3500"," 4500"," 4800","  48.503","  44.260","  12.294","  46.898","  42.622","  11.839"," 83","0"," 62"," 98","   1.241","   1.103","   0.306","  45.000","    0","    0"
"13:03:12:857","15078036811480","   1.328","  19.684"," 4097"," 3600"," 4400"," 4800","  51.432","  49.419","  13.728","  49.772","  47.615","  13.226"," 97","0"," 61"," 97","   1.028","   1.206","   0.335","  45.000","    0","    0"
"13:03:12:957","15078267515752","   1.428","  14.117"," 4216"," 3500"," 4400"," 4800","  41.716","  53.596","  14.888","  40.461","  51.666","  14.352","100","0"," 61","100","   1.009","   1.307","   0.363","  45.000","    0","    0"
"13:03:13:057","15078498921748","   1.528","  22.172"," 3839"," 3500"," 4500"," 4800","  44.549","  58.071","  16.131","  42.874","  55.972","  15.548"," 82","0"," 64","100","   1.319","   1.440","   0.400","  45.000","    0","    0"
"13:03:13:157","15078730066106","   1.629","   9.103"," 4077"," 3400"," 4500"," 4800","  26.126","  60.692","  16.859","  24.786","  58.459","  16.239"," 90","0"," 60"," 90","   0.865","   1.527","   0.424","  45.000","    0","    0"
"13:03:13:259","15078963834368","   1.730","  13.542"," 4386"," 3900"," 4600"," 4800","  46.539","  65.414","  18.170","  45.553","  63.081","  17.522"," 96","0"," 60"," 99","   0.938","   1.622","   0.450","  45.000","    0","    0"
"13:03:13:363","15079203465566","   1.834","  12.732"," 4318"," 3600"," 4600"," 4800","  42.690","  69.854","  19.404","  41.100","  67.356","  18.710"," 87","0"," 60"," 96","   1.131","   1.739","   0.483","  45.000","    0","    0"
"13:03:13:468","15079445656678","   1.939","  16.189"," 4221"," 3500"," 4500"," 4800","  46.721","  74.765","  20.768","  45.628","  72.152","  20.042"," 98","0"," 61"," 99","   1.057","   1.851","   0.514","  45.000","    0","    0"
"13:03:13:572","15079685496554","   2.043","  14.965"," 4066"," 3500"," 4600"," 4800","  39.453","  78.872","  21.909","  37.957","  76.103","  21.140"," 88","0"," 63","100","   1.081","   1.963","   0.545","  45.000","    0","    0"
"13:03:13:677","15079927787692","   2.148","   9.652"," 4528"," 4000"," 4600"," 4800","  41.744","  83.262","  23.128","  40.439","  80.356","  22.321","100","0"," 62","100","   0.893","   2.057","   0.571","  45.000","    0","    0"
"13:03:13:778","15080160488962","   2.249","   9.188"," 4495"," 3900"," 4600"," 4800","  38.894","  87.190","  24.219","  37.858","  84.179","  23.383"," 89","0"," 62","100","   0.902","   2.148","   0.597","  45.000","    0","    0"
