"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"13:04:04:167","15196255378240","   0.101","   7.655"," 4262"," 3500"," 4400"," 4800","  27.117","   2.729","   0.758","  25.569","   2.573","   0.715"," 91","0"," 62"," 92","   0.772","   0.078","   0.022","  45.000","    0","    0"
"13:04:04:272","15196497706316","   0.206","   8.693"," 4344"," 3600"," 4500"," 4789","  32.145","   6.109","   1.697","  30.941","   5.827","   1.619"," 73","0"," 64"," 92","   0.794","   0.161","   0.045","  45.000","  300","  333"
"13:04:04:378","15196740529146","   0.311","   8.403"," 4365"," 3500"," 4500"," 4795","  30.563","   9.331","   2.592","  29.066","   8.890","   2.470"," 93","0"," 65"," 93","   0.784","   0.244","   0.068","  45.000","    0","    0"
"13:04:04:483","15196982763740","   0.416","   6.974"," 4545"," 3800"," 4600"," 4800","  32.241","  12.720","   3.533","  31.037","  12.153","   3.376"," 94","0"," 67","100","   0.671","   0.314","   0.087","  45.000","    0","    0"
"13:04:04:583","15197213744734","   0.517","   9.176"," 4411"," 3600"," 4600"," 4795","  35.951","  16.324","   4.535","  34.581","  15.620","   4.339"," 93","0"," 67"," 96","   0.930","   0.408","   0.113","  45.000","  300","  333"
"13:04:04:688","15197456102708","   0.622","   7.033"," 4180"," 3500"," 4500"," 4800","  25.414","  18.998","   5.277","  24.074","  18.153","   5.042"," 89","0"," 66"," 94","   0.809","   0.493","   0.137","  45.000","    0","    0"
"13:04:04:794","15197698303830","   0.727","   7.636"," 4232"," 3500"," 4500"," 4800","  26.983","  21.834","   6.065","  25.643","  20.848","   5.791"," 88","0"," 66"," 93","   0.860","   0.583","   0.162","  45.000","    0","    0"
"13:04:04:899","15197940485480","   0.832","   7.480"," 4472"," 3600"," 4600"," 4800","  31.726","  25.169","   6.991","  30.566","  24.061","   6.684"," 96","0"," 66"," 96","   0.682","   0.655","   0.182","  45.000","    0","    0"
"13:04:04:999","15198171586996","   0.932","  14.825"," 4314"," 3600"," 4600"," 4800","  50.090","  30.193","   8.387","  48.604","  28.936","   8.038"," 86","0"," 67"," 98","   0.786","   0.734","   0.204","  45.000","    0","    0"
"13:04:05:104","15198413946528","   1.038","  18.559"," 4271"," 3600"," 4500"," 4800","  56.067","  36.091","  10.025","  54.938","  34.715","   9.643","100","0"," 70","100","   0.909","   0.829","   0.230","  45.000","    0","    0"
