"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"13:03:46:657","15155912550328","   0.101","   7.599"," 4271"," 3400"," 4400"," 4800","  26.187","   2.636","   0.732","  24.996","   2.516","   0.699"," 91","0"," 60"," 91","   0.763","   0.077","   0.021","  45.000","    0","    0"
"13:03:46:764","15156157881724","   0.207","   9.213"," 4326"," 3600"," 4500"," 4800","  33.197","   6.170","   1.714","  31.832","   5.905","   1.640"," 82","0"," 62","100","   0.816","   0.164","   0.045","  45.000","  300","  333"
"13:03:46:869","15156400352142","   0.312","   8.312"," 4378"," 3700"," 4500"," 4800","  30.691","   9.400","   2.611","  29.410","   9.000","   2.500"," 82","0"," 64"," 89","   0.770","   0.245","   0.068","  45.000","    0","    0"
"13:03:46:972","15156638980370","   0.416","   7.776"," 4507"," 3800"," 4600"," 4800","  33.302","  12.849","   3.569","  31.988","  12.313","   3.420"," 87","0"," 64"," 93","   0.708","   0.318","   0.088","  45.000","    0","    0"
"13:03:47:073","15156869841232","   0.516","   9.044"," 4420"," 3700"," 4600"," 4766","  35.943","  16.451","   4.570","  34.573","  15.778","   4.383"," 89","0"," 65"," 96","   0.936","   0.412","   0.114","  45.000","    0","    0"
"13:03:47:178","15157112295200","   0.621","   7.136"," 4188"," 3500"," 4400"," 4800","  26.103","  19.198","   5.333","  24.818","  18.389","   5.108"," 89","0"," 63","100","   0.783","   0.494","   0.137","  45.000","    0","    0"
"13:03:47:283","15157354483524","   0.726","   7.197"," 4207"," 3500"," 4500"," 4800","  25.530","  21.881","   6.078","  24.190","  20.932","   5.814"," 91","0"," 65"," 92","   0.822","   0.581","   0.161","  45.000","    0","    0"
"13:03:47:388","15157596730222","   0.832","   7.467"," 4421"," 4000"," 4500"," 4800","  30.498","  25.088","   6.969","  29.300","  24.013","   6.670","100","0"," 65","100","   0.686","   0.653","   0.181","  45.000","    0","    0"
"13:03:47:488","15157827743302","   0.932","  15.006"," 4216"," 3600"," 4600"," 4800","  44.919","  29.592","   8.220","  43.530","  28.377","   7.883"," 90","0"," 65","100","   0.756","   0.729","   0.202","  45.000","    0","    0"
"13:03:47:589","15158059636872","   1.033","  17.596"," 4345"," 3600"," 4500"," 4800","  56.760","  35.305","   9.807","  55.845","  33.998","   9.444","100","0"," 67","100","   0.887","   0.818","   0.227","  45.000","    0","    0"
"13:03:47:690","15158291044628","   1.133","  17.040"," 4227"," 3600"," 4500"," 4800","  51.407","  40.468","  11.241","  49.741","  38.994","  10.832","100","0"," 67","100","   1.080","   0.926","   0.257","  45.000","    0","    0"
"13:03:47:790","15158521866538","   1.233","  16.013"," 4170"," 3500"," 4400"," 4800","  46.385","  45.115","  12.532","  44.922","  43.494","  12.082","100","0"," 65","100","   1.154","   1.042","   0.289","  45.000","    0","    0"
"13:03:47:891","15158754194108","   1.334","  16.018"," 4147"," 3500"," 4500"," 4800","  45.299","  49.683","  13.801","  43.886","  47.920","  13.311","100","0"," 67","100","   1.006","   1.143","   0.318","  45.000","    0","    0"
"13:03:47:991","15158985244400","   1.434","  11.248"," 4293"," 3700"," 4600"," 4800","  38.534","  53.547","  14.874","  37.338","  51.664","  14.351"," 97","0"," 67","100","   0.929","   1.236","   0.343","  45.000","    0","    0"
"13:03:48:092","15159217737550","   1.535","   9.215"," 4333"," 3400"," 4600"," 4800","  36.555","  57.236","  15.899","  35.039","  55.200","  15.333","100","0"," 68","100","   0.987","   1.336","   0.371","  45.000","    0","    0"
"13:03:48:197","15159460049334","   1.640","  12.069"," 4445"," 3700"," 4600"," 4800","  45.770","  62.049","  17.236","  44.519","  59.882","  16.634"," 94","0"," 69","100","   0.907","   1.431","   0.398","  45.000","    0","    0"
"13:03:48:302","15159702241934","   1.746","  12.942"," 4355"," 3500"," 4600"," 4793","  47.417","  67.034","  18.620","  46.039","  64.721","  17.978"," 97","0"," 69","100","   1.094","   1.546","   0.430","  45.000","    0","    0"
"13:03:48:405","15159939431434","   1.848","  17.338"," 4232"," 3500"," 4500"," 4797","  51.897","  72.376","  20.104","  50.429","  69.913","  19.420"," 92","0"," 68","100","   1.151","   1.665","   0.462","  45.000","    0","    0"
"13:03:48:506","15160171709538","   1.949","  12.334"," 3973"," 3500"," 4600"," 4800","  31.179","  75.519","  20.978","  29.663","  72.903","  20.251"," 80","0"," 69"," 96","   1.040","   1.770","   0.492","  45.000","    0","    0"
"13:03:48:611","15160413942082","   2.054","   8.090"," 4497"," 3600"," 4600"," 4800","  35.204","  79.221","  22.006","  34.223","  76.501","  21.250","100","0"," 69","100","   0.732","   1.847","   0.513","  45.000","    0","    0"
