"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"13:17:58:909","17119478081614","   0.104","   8.031"," 4269"," 3600"," 4400"," 4800","  26.851","   2.780","   0.772","  25.230","   2.612","   0.726"," 80","0"," 57"," 83","   0.794","   0.082","   0.023","  45.000","    0","    0"
"13:17:59:015","17119722045076","   0.209","   9.330"," 4156"," 1900"," 4400"," 4604","  28.756","   5.824","   1.618","  27.508","   5.525","   1.535"," 69","0"," 59"," 85","   0.791","   0.166","   0.046","  45.000","    0","    0"
"13:17:59:116","17119952949550","   0.310","   9.477"," 4291"," 3400"," 4400"," 4753","  30.770","   8.908","   2.475","  29.461","   8.477","   2.355"," 82","0"," 62"," 83","   0.842","   0.250","   0.070","  45.000","    0","    0"
"13:17:59:217","17120186506140","   0.411","   7.341"," 4434"," 3900"," 4600"," 4800","  29.163","  11.865","   3.296","  28.119","  11.328","   3.147"," 84","0"," 62"," 97","   0.657","   0.317","   0.088","  45.000","    0","    0"
"13:17:59:319","17120420839464","   0.513","   8.978"," 4428"," 3700"," 4600"," 4790","  36.255","  15.552","   4.320","  34.758","  14.863","   4.129"," 76","0"," 62","100","   0.849","   0.403","   0.112","  45.000","    0","    0"
"13:17:59:422","17120658268552","   0.616","   7.353"," 4203"," 3500"," 4600"," 4800","  27.060","  18.340","   5.095","  25.620","  17.503","   4.862"," 94","0"," 61"," 96","   0.832","   0.489","   0.136","  45.000","    0","    0"
"13:17:59:522","17120889807312","   0.716","   7.094"," 4374"," 3600"," 4600"," 4800","  28.531","  21.208","   5.891","  27.022","  20.218","   5.616"," 81","0"," 61"," 95","   0.883","   0.578","   0.160","  45.000","    0","    0"
"13:17:59:627","17121132069226","   0.821","   7.309"," 4524"," 4000"," 4600"," 4800","  31.512","  24.521","   6.811","  30.384","  23.413","   6.504"," 88","0"," 64"," 90","   0.672","   0.648","   0.180","  45.000","    0","    0"
"13:17:59:731","17121369969992","   0.925","  14.330"," 4205"," 3600"," 4600"," 4800","  43.005","  28.962","   8.045","  41.944","  27.744","   7.707"," 83","0"," 64"," 92","   0.794","   0.730","   0.203","  45.000","    0","    0"
"13:17:59:831","17121602402180","   1.026","  17.853"," 4272"," 3600"," 4600"," 4800","  54.296","  34.439","   9.566","  52.981","  33.089","   9.191"," 86","0"," 64","100","   0.883","   0.819","   0.228","  45.000","    0","    0"
"13:17:59:932","17121833735096","   1.126","  16.136"," 4271"," 3200"," 4500"," 4797","  48.460","  39.305","  10.918","  47.397","  37.848","  10.513"," 92","0"," 67","100","   1.001","   0.920","   0.256","  45.000","    0","    0"
"13:18:00:032","17122064753728","   1.226","  17.905"," 4060"," 3500"," 4500"," 4797","  47.660","  44.084","  12.245","  45.572","  42.417","  11.783"," 83","0"," 63"," 94","   1.272","   1.047","   0.291","  45.000","    0","    0"
"13:18:00:133","17122296184360","   1.327","  15.916"," 4243"," 3700"," 4400"," 4800","  46.494","  48.754","  13.543","  45.306","  46.968","  13.047"," 79","0"," 64"," 97","   0.947","   1.143","   0.317","  45.000","    0","    0"
"13:18:00:234","17122530256888","   1.428","  11.492"," 4418"," 3800"," 4600"," 4796","  42.705","  53.092","  14.748","  41.288","  51.163","  14.212"," 94","0"," 65","100","   0.949","   1.239","   0.344","  45.000","    0","    0"
"13:18:00:338","17122769188230","   1.532","   9.331"," 4413"," 3600"," 4600"," 4800","  36.935","  56.923","  15.812","  35.780","  54.873","  15.243"," 83","0"," 64"," 94","   1.016","   1.344","   0.373","  45.000","    0","    0"
"13:18:00:443","17123011919022","   1.637","  10.566"," 4447"," 3900"," 4600"," 4800","  41.336","  61.277","  17.021","  39.759","  59.062","  16.406","100","0"," 64","100","   0.879","   1.437","   0.399","  45.000","    0","    0"
"13:18:00:544","17123243117464","   1.738","  14.576"," 4196"," 1900"," 4600"," 4615","  45.046","  65.798","  18.277","  43.794","  63.456","  17.627"," 77","0"," 61","100","   1.072","   1.545","   0.429","  45.000","    0","    0"
"13:18:00:648","17123483735832","   1.842","  14.174"," 4281"," 3600"," 4500"," 4800","  45.752","  70.576","  19.604","  44.580","  68.112","  18.920","100","0"," 63","100","   0.978","   1.647","   0.457","  45.000","    0","    0"
"13:18:00:748","17123714890342","   1.942","  14.903"," 4061"," 3500"," 4500"," 4800","  39.222","  74.511","  20.697","  37.528","  71.877","  19.966"," 82","0"," 62","100","   1.172","   1.764","   0.490","  45.000","    0","    0"
"13:18:00:853","17123956719308","   2.047","   8.582"," 4095"," 3500"," 4600"," 4800","  27.131","  77.358","  21.488","  25.879","  74.593","  20.720","100","0"," 63","100","   0.803","   1.849","   0.513","  45.000","    0","    0"
"13:18:00:958","17124198003470","   2.152","   9.381"," 4466"," 3800"," 4600"," 4800","  37.930","  81.331","  22.592","  36.915","  78.459","  21.794","100","0"," 65","100","   0.818","   1.934","   0.537","  45.000","    0","    0"
"13:18:01:062","17124436999888","   2.256","   7.689"," 4359"," 3500"," 4600"," 4706","  31.246","  84.572","  23.492","  29.740","  81.544","  22.651"," 77","0"," 64","100","   0.821","   2.019","   0.561","  45.000","    0","    0"
"13:18:01:164","17124673044662","   2.358","   7.974"," 3865"," 3500"," 4600"," 4327","  22.218","  86.848","  24.124","  20.603","  83.655","  23.237"," 77","0"," 62"," 83","   0.829","   2.104","   0.585","  45.000","    0","    0"
"13:18:01:269","17124915357582","   2.463","   9.177"," 4340"," 3700"," 4400"," 4793","  38.443","  90.891","  25.248","  37.239","  87.571","  24.325"," 83","0"," 63"," 90","   0.720","   2.180","   0.606","  45.000","    0","    0"
