"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"12:23:33:959","9597148891370","   0.102","   8.678"," 4244"," 3600"," 4400"," 4800","  28.559","   2.917","   0.810","  26.966","   2.754","   0.765"," 78","0"," 53"," 78","   0.895","   0.091","   0.025","  45.000","    0","    0"
"12:23:34:068","9597401034732","   0.212","   8.802"," 4329"," 3600"," 4500"," 4800","  30.704","   6.277","   1.744","  29.295","   5.960","   1.656"," 69","0"," 55"," 82","   0.820","   0.181","   0.050","  45.000","    0","    0"
"12:23:34:173","9597643603328","   0.317","   7.985"," 4464"," 3300"," 4500"," 4800","  30.468","   9.484","   2.635","  29.344","   9.049","   2.514"," 87","0"," 57"," 87","   0.729","   0.258","   0.072","  45.000","    0","    0"
"12:23:34:276","9597880117572","   0.420","   7.314"," 4508"," 4100"," 4600"," 4800","  30.206","  12.585","   3.496","  28.879","  12.014","   3.337"," 81","0"," 59"," 88","   0.662","   0.326","   0.091","  45.000","    0","    0"
"12:23:34:377","9598112410792","   0.520","   9.582"," 4394"," 3600"," 4700"," 4795","  34.826","  16.096","   4.471","  33.509","  15.392","   4.276"," 73","0"," 57"," 94","   0.990","   0.426","   0.118","  45.000","  350","  333"
"12:23:34:477","9598343474106","   0.621","   8.220"," 4303"," 3600"," 4500"," 4800","  30.550","  19.160","   5.322","  28.902","  18.291","   5.081"," 85","0"," 57"," 88","   0.882","   0.514","   0.143","  45.000","    0","    0"
"12:23:34:578","9598574626616","   0.721","   7.365"," 4180"," 3500"," 4600"," 4798","  25.091","  21.677","   6.021","  23.752","  20.674","   5.743"," 84","0"," 57"," 85","   0.851","   0.600","   0.167","  45.000","    0","    0"
"12:23:34:678","9598805493016","   0.821","   7.521"," 4522"," 4000"," 4600"," 4800","  31.296","  24.813","   6.893","  30.280","  23.708","   6.586"," 82","0"," 59"," 87","   0.675","   0.667","   0.185","  45.000","    0","    0"
"12:23:34:782","9599045890176","   0.925","  14.812"," 4377"," 3700"," 4600"," 4800","  49.886","  30.018","   8.338","  48.430","  28.761","   7.989"," 89","0"," 58"," 91","   0.787","   0.749","   0.208","  45.000","    0","    0"
"12:23:34:887","9599286731326","   1.030","  17.332"," 4362"," 3600"," 4600"," 4800","  56.393","  35.913","   9.976","  55.373","  34.549","   9.597"," 88","0"," 63"," 97","   0.872","   0.841","   0.233","  45.000","    0","    0"
