"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"12:24:55:097","9784090421096","   0.104","   7.907"," 4257"," 3600"," 4300"," 4800","  26.418","   2.750","   0.764","  24.890","   2.591","   0.720"," 81","0"," 58"," 82","   0.777","   0.081","   0.022","  45.000","    0","    0"
"12:24:55:203","9784333862376","   0.210","   9.093"," 4294"," 3500"," 4500"," 4800","  30.900","   6.015","   1.671","  29.628","   5.722","   1.589"," 71","0"," 60"," 88","   0.793","   0.165","   0.046","  45.000","  300","  333"
"12:24:55:305","9784568466246","   0.312","   9.222"," 4230"," 3400"," 4500"," 4634","  29.465","   9.016","   2.504","  28.040","   8.577","   2.383"," 84","0"," 61"," 84","   0.794","   0.245","   0.068","  45.000","    0","    0"
"12:24:55:406","9784801693980","   0.413","   7.687"," 4468"," 3400"," 4600"," 4800","  32.649","  12.321","   3.422","  31.606","  11.776","   3.271"," 95","0"," 63","100","   0.683","   0.315","   0.087","  45.000","    0","    0"
"12:24:55:510","9785042061398","   0.517","   9.470"," 4391"," 3700"," 4600"," 4795","  35.108","  15.983","   4.440","  33.838","  15.307","   4.252"," 81","0"," 62"," 99","   0.847","   0.403","   0.112","  45.000","    0","    0"
"12:24:55:615","9785284306812","   0.622","   7.335"," 4215"," 3500"," 4500"," 4800","  26.668","  18.787","   5.219","  24.962","  17.931","   4.981"," 91","0"," 63"," 92","   0.855","   0.493","   0.137","  45.000","    0","    0"
"12:24:55:719","9785522683416","   0.726","   6.942"," 4485"," 3700"," 4600"," 4800","  30.849","  21.979","   6.105","  29.604","  20.994","   5.832"," 91","0"," 63"," 95","   0.870","   0.583","   0.162","  45.000","  300","  333"
"12:24:55:824","9785764986510","   0.831","   7.347"," 4459"," 3800"," 4600"," 4800","  31.249","  25.265","   7.018","  30.123","  24.162","   6.712","100","0"," 64","100","   0.671","   0.653","   0.181","  45.000","    0","    0"
"12:24:55:925","9785997039438","   0.932","  17.273"," 4043"," 3500"," 4600"," 4800","  44.330","  29.730","   8.258","  43.023","  28.495","   7.915"," 84","0"," 62","100","   0.891","   0.743","   0.206","  45.000","    0","    0"
"12:24:56:025","9786227814940","   1.032","  17.791"," 4243"," 3600"," 4600"," 4800","  51.305","  34.869","   9.686","  50.155","  33.519","   9.311"," 92","0"," 68","100","   0.881","   0.831","   0.231","  45.000","    0","    0"
