"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"11:28:13:135","1946034012670","   0.100","   7.732"," 4255"," 3500"," 4400"," 4800","  25.741","   2.586","   0.718","  24.510","   2.463","   0.684"," 73","0"," 57"," 82","   0.759","   0.076","   0.021","  45.000","    0","    0"
"11:28:13:243","1946282587762","   0.208","   8.639"," 4319"," 3600"," 4500"," 4800","  30.026","   5.826","   1.618","  28.720","   5.561","   1.545"," 77","0"," 58"," 83","   0.798","   0.162","   0.045","  45.000","    0","    0"
"11:28:13:347","1946523741136","   0.313","   8.594"," 4079"," 1300"," 4500"," 4439","  26.651","   8.615","   2.393","  25.259","   8.205","   2.279"," 89","0"," 59"," 90","   0.763","   0.242","   0.067","  45.000","    0","    0"
"11:28:13:453","1946766018172","   0.418","   7.399"," 4447"," 3900"," 4600"," 4794","  29.228","  11.689","   3.247","  28.105","  11.161","   3.100"," 77","0"," 60"," 92","   0.676","   0.313","   0.087","  45.000","    0","    0"
"11:28:13:554","1946998969926","   0.519","   9.422"," 4368"," 3500"," 4600"," 4720","  34.490","  15.176","   4.216","  33.014","  14.499","   4.027"," 69","0"," 60"," 91","   0.934","   0.408","   0.113","  45.000","    0","    0"
"11:28:13:659","1947241306136","   0.624","   6.828"," 4220"," 3500"," 4600"," 4800","  25.695","  17.879","   4.966","  24.420","  17.067","   4.741"," 90","0"," 60"," 95","   0.745","   0.486","   0.135","  45.000","    0","    0"
"11:28:13:760","1947474740836","   0.726","   7.023"," 4388"," 3700"," 4600"," 4800","  27.894","  20.705","   5.751","  26.368","  19.739","   5.483"," 93","0"," 61"," 93","   0.856","   0.573","   0.159","  45.000","    0","    0"
"11:28:13:863","1947710818346","   0.828","   7.504"," 4544"," 3900"," 4600"," 4800","  32.762","  24.062","   6.684","  31.701","  22.987","   6.385"," 91","0"," 61"," 96","   0.687","   0.643","   0.179","  45.000","    0","    0"
"11:28:13:967","1947951640124","   0.933","  15.900"," 4250"," 3600"," 4600"," 4800","  48.838","  29.167","   8.102","  47.474","  27.949","   7.764"," 90","0"," 62"," 95","   0.842","   0.731","   0.203","  45.000","    0","    0"
"11:28:14:067","1948182625438","   1.033","  17.598"," 4302"," 3800"," 4600"," 4800","  53.987","  34.579","   9.605","  52.820","  33.244","   9.235"," 95","0"," 68","100","   0.877","   0.819","   0.228","  45.000","    0","    0"
