"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"11:28:32:674","1991051787330","   0.103","   7.668"," 4341"," 3400"," 4400"," 4800","  28.236","   2.901","   0.806","  26.695","   2.743","   0.762"," 86","0"," 59"," 87","   0.769","   0.079","   0.022","  45.000","    0","    0"
"11:28:32:780","1991295821794","   0.209","   9.314"," 4333"," 3600"," 4500"," 4800","  33.425","   6.441","   1.789","  32.110","   6.144","   1.707"," 75","0"," 60"," 95","   0.815","   0.165","   0.046","  45.000","  300","  333"
"11:28:32:884","1991535599940","   0.313","   8.327"," 4382"," 3500"," 4500"," 4800","  30.411","   9.606","   2.668","  29.119","   9.174","   2.548"," 82","0"," 62"," 88","   0.760","   0.244","   0.068","  45.000","    0","    0"
"11:28:32:989","1991777855800","   0.418","   7.440"," 4491"," 3800"," 4600"," 4794","  31.349","  12.903","   3.584","  30.225","  12.352","   3.431"," 79","0"," 65"," 92","   0.678","   0.316","   0.088","  45.000","    0","    0"
"11:28:33:093","1992017810798","   0.522","   8.936"," 4435"," 3700"," 4600"," 4800","  35.595","  16.610","   4.614","  34.130","  15.907","   4.419"," 83","0"," 63"," 93","   0.918","   0.411","   0.114","  45.000","    0","    0"
"11:28:33:193","1992248738500","   0.622","   7.177"," 4222"," 3600"," 4400"," 4800","  26.161","  19.232","   5.342","  24.891","  18.402","   5.112"," 89","0"," 62"," 95","   0.779","   0.489","   0.136","  45.000","    0","    0"
"11:28:33:294","1992482035540","   0.724","   7.081"," 4474"," 3500"," 4600"," 4800","  31.277","  22.399","   6.222","  29.931","  21.432","   5.953"," 94","0"," 63"," 97","   0.831","   0.574","   0.159","  45.000","    0","    0"
"11:28:33:399","1992722972746","   0.828","   7.445"," 4141"," 1400"," 4600"," 4455","  25.944","  25.112","   6.976","  24.623","  24.007","   6.669"," 92","0"," 64"," 96","   0.682","   0.645","   0.179","  45.000","    0","    0"
"11:28:33:500","1992956417916","   0.929","  14.042"," 4370"," 3600"," 4600"," 4800","  48.594","  30.035","   8.343","  47.824","  28.853","   8.015"," 94","0"," 65"," 98","   0.743","   0.720","   0.200","  45.000","    0","    0"
"11:28:33:601","1993188461264","   1.030","  17.382"," 4352"," 3600"," 4600"," 4800","  57.265","  35.803","   9.945","  55.691","  34.462","   9.573","100","0"," 70","100","   0.879","   0.809","   0.225","  45.000","    0","    0"
