"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"12:19:12:446","8994627432118","   0.105","   7.866"," 4010"," 1200"," 4400"," 4508","  23.034","   2.419","   0.672","  21.569","   2.265","   0.629"," 89","0"," 58"," 89","   0.777","   0.082","   0.023","  45.000","    0","    0"
"12:19:12:551","8994868807562","   0.210","   8.922"," 4304"," 3400"," 4400"," 4800","  30.606","   5.626","   1.563","  29.354","   5.341","   1.484"," 83","0"," 59"," 92","   0.767","   0.162","   0.045","  45.000","    0","    0"
"12:19:12:653","8995103812948","   0.312","   9.124"," 4320"," 3500"," 4400"," 4800","  31.624","   8.851","   2.459","  30.224","   8.423","   2.340"," 81","0"," 60"," 89","   0.826","   0.246","   0.068","  45.000","    0","    0"
"12:19:12:753","8995334905244","   0.412","   8.223"," 4352"," 3600"," 4600"," 4800","  29.472","  11.807","   3.280","  28.403","  11.272","   3.131"," 78","0"," 60"," 95","   0.696","   0.316","   0.088","  45.000","    0","    0"
"12:19:12:858","8995576706786","   0.517","  13.260"," 4412"," 3600"," 4600"," 4757","  46.476","  16.685","   4.635","  45.108","  16.006","   4.446"," 84","0"," 62"," 94","   0.932","   0.414","   0.115","  45.000","    0","    0"
"12:19:12:958","8995807668660","   0.617","   7.490"," 4193"," 3500"," 4400"," 4800","  26.223","  19.314","   5.365","  24.798","  18.492","   5.137","100","0"," 61","100","   0.893","   0.503","   0.140","  45.000","    0","    0"
"12:19:13:059","8996039290780","   0.718","   8.734"," 4158"," 3000"," 4400"," 4672","  29.113","  22.240","   6.178","  27.588","  21.266","   5.907"," 74","0"," 62","100","   0.873","   0.591","   0.164","  45.000","    0","    0"
"12:19:13:164","8996281428108","   0.823","   7.794"," 4368"," 3700"," 4500"," 4800","  29.393","  25.330","   7.036","  28.130","  24.222","   6.728","100","0"," 63","100","   0.737","   0.669","   0.186","  45.000","    0","    0"
"12:19:13:269","8996522941222","   0.928","  13.285"," 4121"," 3500"," 4500"," 4800","  37.981","  29.311","   8.142","  36.828","  28.082","   7.801"," 95","0"," 60","100","   0.784","   0.751","   0.209","  45.000","    0","    0"
"12:19:13:373","8996761945004","   1.031","  18.292"," 4296"," 3700"," 4400"," 4800","  55.335","  35.051","   9.736","  53.843","  33.668","   9.352"," 82","0"," 67"," 99","   0.884","   0.842","   0.234","  45.000","    0","    0"
"12:19:13:473","8996993031514","   1.132","  15.583"," 4289"," 3700"," 4600"," 4800","  48.724","  39.938","  11.094","  47.652","  38.447","  10.680"," 99","0"," 67","100","   0.960","   0.939","   0.261","  45.000","    0","    0"
"12:19:13:574","8997226752142","   1.233","  18.622"," 4036"," 3500"," 4600"," 4800","  46.909","  44.696","  12.416","  45.261","  43.038","  11.955"," 89","0"," 63"," 99","   1.264","   1.067","   0.296","  45.000","    0","    0"
"12:19:13:675","8997458873902","   1.334","  15.908"," 4267"," 3500"," 4500"," 4800","  47.959","  49.528","  13.758","  46.708","  47.744","  13.262","100","0"," 65","100","   0.957","   1.163","   0.323","  45.000","    0","    0"
"12:19:13:775","8997690130956","   1.434","  11.590"," 4425"," 4000"," 4600"," 4792","  43.641","  53.909","  14.975","  42.069","  51.966","  14.435","100","0"," 65","100","   0.944","   1.258","   0.349","  45.000","    0","    0"
"12:19:13:880","8997932321052","   1.539","   9.454"," 4405"," 3700"," 4600"," 4800","  37.534","  57.854","  16.071","  36.066","  55.758","  15.488"," 84","0"," 65","100","   1.042","   1.368","   0.380","  45.000","    0","    0"
"12:19:13:981","8998163107342","   1.640","  10.513"," 4420"," 3900"," 4600"," 4800","  39.612","  61.822","  17.173","  38.471","  59.611","  16.559"," 92","0"," 64","100","   0.867","   1.455","   0.404","  45.000","    0","    0"
"12:19:14:084","8998400340728","   1.743","  14.351"," 4368"," 3600"," 4600"," 4800","  50.400","  67.011","  18.614","  48.936","  64.650","  17.958","100","0"," 63","100","   1.097","   1.568","   0.435","  45.000","    0","    0"
"12:19:14:186","8998635746912","   1.845","  14.421"," 4329"," 3600"," 4600"," 4800","  48.180","  71.934","  19.982","  46.903","  69.442","  19.289"," 93","0"," 64"," 93","   0.986","   1.668","   0.463","  45.000","    0","    0"
"12:19:14:286","8998866810834","   1.945","  14.800"," 4128"," 3500"," 4500"," 4800","  40.687","  76.014","  21.115","  39.229","  73.376","  20.382"," 83","0"," 63","100","   1.161","   1.785","   0.496","  45.000","    0","    0"
"12:19:14:389","8999103361486","   2.048","   8.482"," 4180"," 3500"," 4600"," 4800","  28.177","  78.907","  21.919","  26.884","  76.136","  21.149","100","0"," 64","100","   0.798","   1.867","   0.519","  45.000","    0","    0"
"12:19:14:493","8999343401990","   2.152","   9.520"," 4501"," 3800"," 4600"," 4800","  38.549","  82.924","  23.034","  37.362","  80.029","  22.230"," 91","0"," 64","100","   0.830","   1.953","   0.543","  45.000","    0","    0"
