"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"12:16:49:923","8666257804174","   0.100","   8.818"," 4163"," 3600"," 4300"," 4800","  26.811","   2.686","   0.746","  25.225","   2.527","   0.702"," 71","0"," 47"," 71","   0.890","   0.089","   0.025","  45.000","    0","    0"
"12:16:50:029","8666501404992","   0.206","   9.627"," 4285"," 3600"," 4400"," 4800","  29.926","   5.850","   1.625","  28.696","   5.561","   1.545"," 70","0"," 48"," 80","   0.832","   0.177","   0.049","  45.000","    0","    0"
"12:16:50:130","8666734807584","   0.307","   8.434"," 4311"," 3600"," 4400"," 4794","  27.731","   8.659","   2.405","  26.461","   8.241","   2.289"," 66","0"," 49"," 76","   0.792","   0.257","   0.071","  45.000","    0","    0"
"12:16:50:231","8666966024072","   0.408","   8.012"," 4436"," 3700"," 4500"," 4794","  30.363","  11.706","   3.252","  28.877","  11.139","   3.094"," 79","0"," 50"," 79","   0.768","   0.334","   0.093","  45.000","    0","    0"
"12:16:50:333","8667201987496","   0.510","  10.365"," 4283"," 3600"," 4500"," 4800","  33.131","  15.099","   4.194","  31.972","  14.414","   4.004"," 75","0"," 51"," 85","   0.899","   0.426","   0.118","  45.000","    0","    0"
"12:16:50:439","8667444785050","   0.615","   8.289"," 4022"," 3500"," 4500"," 4800","  24.378","  17.668","   4.908","  22.543","  16.789","   4.664"," 74","0"," 51"," 81","   0.992","   0.531","   0.147","  45.000","    0","    0"
"12:16:50:542","8667683991450","   0.719","   7.404"," 4287"," 3600"," 4500"," 4800","  25.465","  20.312","   5.642","  24.295","  19.312","   5.364"," 66","0"," 49"," 78","   0.880","   0.622","   0.173","  45.000","    0","    0"
"12:16:50:644","8667917183726","   0.820","   7.434"," 4473"," 3900"," 4600"," 4800","  28.893","  23.236","   6.454","  27.539","  22.099","   6.139"," 79","0"," 51"," 79","   0.680","   0.691","   0.192","  45.000","    0","    0"
"12:16:50:745","8668150497848","   0.922","  14.671"," 4412"," 3600"," 4600"," 4800","  48.386","  28.136","   7.816","  47.400","  26.899","   7.472"," 88","0"," 51"," 88","   0.783","   0.770","   0.214","  45.000","    0","    0"
"12:16:50:845","8668381321406","   1.022","  17.474"," 4362"," 3700"," 4500"," 4800","  55.142","  33.660","   9.350","  53.901","  32.299","   8.972"," 80","0"," 57"," 92","   0.882","   0.859","   0.239","  45.000","    0","    0"
