"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"11:37:41:997","6971373123710","   0.104","   8.302"," 4305"," 3700"," 4400"," 4800","  28.475","   2.964","   0.823","  27.133","   2.824","   0.784"," 79","0"," 59"," 83","   0.820","   0.085","   0.024","  45.000","    0","    0"
"11:37:42:106","6971623785686","   0.213","   9.117"," 4303"," 3600"," 4400"," 4800","  30.934","   6.329","   1.758","  29.577","   6.042","   1.678"," 85","0"," 60"," 88","   0.835","   0.176","   0.049","  45.000","    0","    0"
"11:37:42:210","6971864088972","   0.317","   8.047"," 4369"," 3500"," 4400"," 4800","  28.983","   9.352","   2.598","  27.860","   8.948","   2.485"," 84","0"," 62"," 89","   0.679","   0.247","   0.069","  45.000","    0","    0"
"11:37:42:314","6972102405148","   0.421","   7.272"," 4504"," 3500"," 4600"," 4794","  31.106","  12.569","   3.492","  30.027","  12.053","   3.348"," 92","0"," 62"," 96","   0.662","   0.315","   0.088","  45.000","    0","    0"
"11:37:42:414","6972333346060","   0.521","   9.107"," 4316"," 3600"," 4600"," 4800","  33.940","  15.971","   4.437","  32.252","  15.286","   4.246"," 81","0"," 62","100","   0.914","   0.407","   0.113","  45.000","    0","    0"
"11:37:42:516","6972568385456","   0.623","   6.397"," 4367"," 3800"," 4600"," 4800","  26.644","  18.689","   5.192","  25.470","  17.884","   4.968"," 96","0"," 62","100","   0.725","   0.481","   0.134","  45.000","    0","    0"
"11:37:42:621","6972810647650","   0.728","   6.777"," 4455"," 3800"," 4600"," 4800","  29.518","  21.793","   6.054","  28.358","  20.866","   5.796"," 96","0"," 61","100","   0.778","   0.563","   0.156","  45.000","    0","    0"
"11:37:42:722","6973041896424","   0.828","   7.140"," 4545"," 4000"," 4600"," 4800","  33.961","  25.202","   7.001","  32.859","  24.164","   6.712"," 81","0"," 64","100","   0.810","   0.644","   0.179","  45.000","    0","    0"
"11:37:42:822","6973273579812","   0.929","   9.052"," 4543"," 3900"," 4600"," 4800","  38.333","  29.057","   8.071","  37.085","  27.893","   7.748"," 90","0"," 65"," 93","   0.714","   0.716","   0.199","  45.000","    0","    0"
"11:37:42:926","6973512726526","   1.033","   7.513"," 4506"," 3800"," 4600"," 4800","  33.535","  32.537","   9.038","  32.055","  31.221","   8.672"," 86","0"," 66","100","   0.792","   0.798","   0.222","  45.000","    0","    0"
"11:37:43:031","6973755192278","   1.138","   7.654"," 4454"," 3700"," 4600"," 4800","  31.430","  35.845","   9.957","  30.313","  34.411","   9.558"," 93","0"," 63"," 93","   0.717","   0.874","   0.243","  45.000","    0","    0"
