"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"11:38:56:180","3427617487062","   0.101","  19.364"," 3720"," 3400"," 4400"," 4800","  34.348","   3.473","   0.965","  32.788","   3.315","   0.921"," 83","0"," 56"," 83","   1.299","   0.131","   0.036","  45.000","    0","    0"
"11:38:56:290","3427870007700","   0.211","   7.224"," 4414"," 3600"," 4500"," 4800","  28.831","   6.633","   1.842","  27.776","   6.359","   1.766"," 81","0"," 60"," 88","   0.691","   0.207","   0.057","  45.000","    0","    0"
"11:38:56:395","3428112488398","   0.316","   9.721"," 4312"," 3500"," 4500"," 4800","  33.023","  10.108","   2.808","  31.404","   9.664","   2.684"," 85","0"," 60"," 85","   0.864","   0.298","   0.083","  45.000","    0","    0"
"11:38:56:496","3428345231650","   0.417","   7.177"," 4376"," 3900"," 4400"," 4800","  26.735","  12.809","   3.558","  25.627","  12.253","   3.404"," 74","0"," 60"," 85","   0.654","   0.364","   0.101","  45.000","    0","    0"
"11:38:56:597","3428576636592","   0.517","   9.305"," 4417"," 3800"," 4600"," 4768","  34.184","  16.242","   4.512","  33.165","  15.584","   4.329"," 72","0"," 60"," 91","   0.775","   0.442","   0.123","  45.000","    0","    0"
"11:38:56:697","3428807936446","   0.618","   7.859"," 4320"," 3600"," 4600"," 4800","  29.992","  19.253","   5.348","  28.183","  18.413","   5.115"," 97","0"," 63"," 97","   0.940","   0.536","   0.149","  45.000","    0","    0"
"11:38:56:797","3429038737462","   0.718","   7.156"," 4359"," 3700"," 4500"," 4800","  27.968","  22.054","   6.126","  26.717","  21.090","   5.858"," 74","0"," 63"," 98","   0.831","   0.619","   0.172","  45.000","    0","    0"
"11:38:56:902","3429280918622","   0.823","   7.636"," 4447"," 3700"," 4500"," 4800","  30.393","  25.249","   7.014","  29.130","  24.152","   6.709"," 87","0"," 62"," 87","   0.735","   0.697","   0.194","  45.000","    0","    0"
"11:38:57:007","3429521198596","   0.927","  12.074"," 4284"," 3600"," 4600"," 4800","  40.589","  29.482","   8.189","  39.493","  28.270","   7.853"," 80","0"," 61"," 93","   0.745","   0.774","   0.215","  45.000","    0","    0"
"11:38:57:107","3429752218976","   1.028","  18.722"," 4298"," 3600"," 4600"," 4800","  55.261","  35.023","   9.729","  54.354","  33.720","   9.367"," 90","0"," 63"," 92","   0.842","   0.859","   0.239","  45.000","    0","    0"
