"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"11:37:22:110","3210879307608","   0.102","   7.721"," 4322"," 3700"," 4400"," 4800","  28.003","   2.863","   0.795","  26.554","   2.714","   0.754"," 83","0"," 55"," 83","   0.813","   0.083","   0.023","  45.000","    0","    0"
"11:37:22:216","3211121703722","   0.207","   9.453"," 4288"," 3600"," 4400"," 4769","  31.345","   6.160","   1.711","  29.833","   5.853","   1.626"," 84","0"," 57"," 87","   0.853","   0.173","   0.048","  45.000","    0","    0"
"11:37:22:319","3211358792526","   0.310","   7.853"," 4393"," 3600"," 4600"," 4800","  28.614","   9.105","   2.529","  27.732","   8.707","   2.419"," 89","0"," 58"," 89","   0.692","   0.244","   0.068","  45.000","    0","    0"
"11:37:22:424","3211601284282","   0.416","   7.370"," 4237"," 1800"," 4600"," 4502","  27.420","  11.991","   3.331","  25.927","  11.436","   3.177"," 87","0"," 59"," 94","   0.673","   0.315","   0.087","  45.000","    0","    0"
"11:37:22:525","3211834087100","   0.517","  10.654"," 4306"," 3500"," 4600"," 4800","  36.441","  15.673","   4.354","  34.906","  14.963","   4.156"," 73","0"," 60"," 90","   1.029","   0.419","   0.116","  45.000","    0","    0"
"11:37:22:627","3212068574340","   0.618","   7.284"," 4058"," 3500"," 4400"," 4800","  23.412","  18.055","   5.015","  22.170","  17.219","   4.783"," 87","0"," 58"," 90","   0.793","   0.500","   0.139","  45.000","    0","    0"
"11:37:22:731","3212308799466","   0.723","   8.290"," 4096"," 3500"," 4400"," 4794","  26.125","  20.779","   5.772","  24.538","  19.777","   5.494"," 88","0"," 59"," 88","   0.930","   0.596","   0.166","  45.000","    0","    0"
"11:37:22:831","3212539838082","   0.823","   8.085"," 4345"," 3500"," 4600"," 4800","  29.934","  23.781","   6.606","  28.853","  22.671","   6.297"," 95","0"," 59","100","   0.708","   0.667","   0.185","  45.000","    0","    0"
"11:37:22:936","3212782344858","   0.928","  14.384"," 4386"," 3700"," 4600"," 4800","  48.810","  28.918","   8.033","  47.766","  27.698","   7.694"," 90","0"," 61"," 92","   0.725","   0.744","   0.207","  45.000","    0","    0"
"11:37:23:040","3213020035872","   1.031","  17.391"," 4343"," 3700"," 4500"," 4800","  56.067","  34.703","   9.640","  55.047","  33.377","   9.271"," 91","0"," 63","100","   0.885","   0.835","   0.232","  45.000","    0","    0"
