"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"11:27:27:105","5554638041602","   0.103","  11.446"," 4101"," 3200"," 4300"," 4800","  32.150","   3.299","   0.916","  30.542","   3.134","   0.870"," 83","0"," 63"," 86","   0.878","   0.090","   0.025","  45.000","    0","    0"
"11:27:27:211","5554883727570","   0.209","  10.654"," 4237"," 3600"," 4400"," 4800","  33.257","   6.845","   1.901","  32.279","   6.576","   1.827"," 90","0"," 65"," 91","   0.832","   0.179","   0.050","  45.000","    0","    0"
"11:27:27:315","5555122713284","   0.313","  11.125"," 4054"," 3100"," 4400"," 4800","  30.165","   9.974","   2.771","  28.538","   9.536","   2.649"," 86","0"," 65"," 90","   0.940","   0.276","   0.077","  45.000","    0","    0"
"11:27:27:415","5555353785676","   0.413","   8.886"," 4428"," 3800"," 4500"," 4795","  33.855","  13.369","   3.714","  32.654","  12.811","   3.559"," 86","0"," 67"," 95","   0.783","   0.355","   0.099","  45.000","    0","    0"
"11:27:27:517","5555587514220","   0.515","  10.448"," 4241"," 3500"," 4500"," 4800","  32.967","  16.714","   4.643","  31.372","  15.993","   4.443"," 79","0"," 64"," 90","   0.886","   0.445","   0.124","  45.000","    0","    0"
"11:27:27:617","5555818880168","   0.615","   9.848"," 4101"," 3500"," 4400"," 4800","  29.157","  19.642","   5.456","  27.989","  18.804","   5.223"," 97","0"," 66"," 97","   0.969","   0.542","   0.151","  45.000","    0","    0"
"11:27:27:718","5556050098854","   0.715","   8.798"," 4331"," 3600"," 4600"," 4800","  32.246","  22.878","   6.355","  30.660","  21.881","   6.078"," 89","0"," 67"," 99","   1.020","   0.644","   0.179","  45.000","    0","    0"
"11:27:27:818","5556281321304","   0.816","   7.968"," 4213"," 3500"," 4600"," 4800","  26.815","  25.569","   7.102","  25.564","  24.447","   6.791","100","0"," 65","100","   0.874","   0.732","   0.203","  45.000","    0","    0"
"11:27:27:918","5556512714930","   0.916","   8.591"," 3906"," 3400"," 4600"," 4800","  22.420","  27.820","   7.728","  21.361","  26.592","   7.387","100","0"," 64","100","   0.852","   0.818","   0.227","  45.000","    0","    0"
"11:27:28:021","5556748382172","   1.019","   9.430"," 4419"," 3600"," 4600"," 4800","  35.773","  31.480","   8.744","  34.321","  30.102","   8.362","100","0"," 67","100","   0.813","   0.901","   0.250","  45.000","    0","    0"
