"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"11:27:20:690","5539857415042","   0.104","  10.364"," 4159"," 3500"," 4400"," 4800","  29.861","   3.117","   0.866","  28.555","   2.981","   0.828"," 85","0"," 62"," 89","   0.867","   0.091","   0.025","  45.000","    0","    0"
"11:27:20:795","5540099437590","   0.209","  10.390"," 4074"," 1900"," 4400"," 4630","  29.577","   6.224","   1.729","  28.350","   5.959","   1.655"," 71","0"," 63"," 87","   0.849","   0.180","   0.050","  45.000","    0","    0"
"11:27:20:896","5540332583828","   0.311","   9.953"," 3812"," 1200"," 4400"," 4526","  22.906","   8.542","   2.373","  21.538","   8.138","   2.261"," 73","0"," 64"," 87","   0.852","   0.266","   0.074","  45.000","    0","    0"
"11:27:20:997","5540564274802","   0.411","   9.051"," 4295"," 3100"," 4600"," 4681","  30.744","  11.633","   3.231","  29.534","  11.108","   3.086"," 85","0"," 64","100","   0.835","   0.350","   0.097","  45.000","    0","    0"
"11:27:21:097","5540795352682","   0.511","  11.409"," 4442"," 3500"," 4600"," 4800","  40.175","  15.663","   4.351","  39.038","  15.023","   4.173"," 84","0"," 65","100","   0.994","   0.450","   0.125","  45.000","    0","    0"
"11:27:21:201","5541035830516","   0.616","   8.809"," 4009"," 3500"," 4600"," 4800","  24.999","  18.272","   5.076","  23.597","  17.486","   4.857"," 92","0"," 67"," 93","   0.882","   0.542","   0.150","  45.000","    0","    0"
"11:27:21:305","5541275127800","   0.720","   8.738"," 3911"," 3500"," 4600"," 4795","  22.300","  20.588","   5.719","  21.088","  19.676","   5.466"," 90","0"," 64"," 95","   0.862","   0.631","   0.175","  45.000","    0","    0"
"11:27:21:408","5541513265344","   0.823","   8.275"," 4231"," 3500"," 4600"," 4800","  28.797","  23.564","   6.546","  27.380","  22.506","   6.252"," 99","0"," 65"," 99","   0.834","   0.717","   0.199","  45.000","    0","    0"
"11:27:21:512","5541751787786","   0.927","   8.963"," 3946"," 3500"," 4600"," 4800","  24.030","  26.052","   7.237","  22.901","  24.877","   6.910"," 97","0"," 66","100","   0.874","   0.808","   0.224","  45.000","    0","    0"
"11:27:21:612","5541982822062","   1.027","  10.106"," 4371"," 3700"," 4600"," 4800","  36.250","  29.687","   8.246","  34.763","  28.363","   7.879"," 99","0"," 66","100","   0.906","   0.899","   0.250","  45.000","    0","    0"
