"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"14:25:02:338","26389425820416","   0.105","   7.838"," 4267"," 3600"," 4400"," 4800","  25.541","   2.683","   0.745","  24.233","   2.545","   0.707"," 83","0"," 50"," 83","   0.774","   0.081","   0.023","  45.000","    0","    0"
"14:25:02:446","26389675584874","   0.213","   9.263"," 4332"," 3500"," 4500"," 4800","  31.583","   6.107","   1.696","  30.341","   5.834","   1.621"," 68","0"," 51"," 87","   0.847","   0.173","   0.048","  45.000","    0","    0"
"14:25:02:551","26389917576194","   0.318","   7.862"," 4352"," 3600"," 4500"," 4800","  27.260","   8.970","   2.492","  26.168","   8.583","   2.384"," 79","0"," 51"," 79","   0.701","   0.247","   0.069","  45.000","    0","    0"
"14:25:02:651","26390148758946","   0.419","   8.109"," 4380"," 3700"," 4500"," 4800","  28.776","  11.857","   3.294","  27.378","  11.330","   3.147"," 71","0"," 52"," 83","   0.723","   0.319","   0.089","  45.000","    0","    0"
"14:25:02:754","26390385482586","   0.522","   9.444"," 4370"," 3500"," 4600"," 4800","  32.339","  15.180","   4.217","  30.937","  14.509","   4.030"," 63","0"," 54"," 87","   0.950","   0.417","   0.116","  45.000","    0","    0"
"14:25:02:855","26390617811148","   0.622","   6.704"," 4250"," 3500"," 4600"," 4800","  25.129","  17.714","   4.920","  23.968","  16.925","   4.702"," 86","0"," 55"," 90","   0.738","   0.491","   0.136","  45.000","    0","    0"
"14:25:02:955","26390848604676","   0.723","   7.201"," 4293"," 3600"," 4700"," 4774","  25.347","  20.253","   5.626","  24.017","  19.331","   5.370"," 79","0"," 52"," 87","   0.879","   0.579","   0.161","  45.000","    0","    0"
"14:25:03:060","26391090810042","   0.828","   7.363"," 4519"," 3900"," 4700"," 4800","  30.172","  23.424","   6.507","  28.843","  22.363","   6.212"," 74","0"," 53"," 85","   0.680","   0.651","   0.181","  45.000","    0","    0"
"14:25:03:162","26391324533538","   0.929","  14.481"," 4381"," 3700"," 4600"," 4800","  46.733","  28.165","   7.824","  45.765","  27.006","   7.502"," 85","0"," 53"," 85","   0.740","   0.726","   0.202","  45.000","    0","    0"
"14:25:03:262","26391555888498","   1.030","  20.541"," 4205"," 3600"," 4600"," 4800","  55.417","  33.730","   9.369","  54.507","  32.479","   9.022"," 81","0"," 58"," 86","   0.979","   0.824","   0.229","  45.000","    0","    0"
"14:25:03:362","26391786955716","   1.130","  16.781"," 4260"," 3500"," 4500"," 4800","  48.527","  38.597","  10.721","  46.647","  37.157","  10.321"," 83","0"," 55"," 86","   1.053","   0.930","   0.258","  45.000","    0","    0"
"14:25:03:468","26392029152798","   1.235","  16.027"," 4176"," 3500"," 4500"," 4800","  44.322","  43.256","  12.015","  43.033","  41.681","  11.578"," 84","0"," 55"," 87","   1.078","   1.043","   0.290","  45.000","    0","    0"
