"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"13:20:52:656","17519786185448","   0.100","   7.891"," 4263"," 3500"," 4400"," 4800","  26.771","   2.682","   0.745","  25.440","   2.549","   0.708"," 82","0"," 59"," 83","   0.780","   0.078","   0.022","  45.000","    0","    0"
"13:20:52:762","17520028664340","   0.205","   8.895"," 4341"," 3700"," 4500"," 4800","  31.705","   6.019","   1.672","  30.643","   5.774","   1.604"," 79","0"," 60"," 95","   0.774","   0.160","   0.044","  45.000","    0","    0"
"13:20:52:862","17520259733826","   0.306","   8.315"," 4380"," 3600"," 4500"," 4800","  31.094","   9.137","   2.538","  29.496","   8.732","   2.426"," 85","0"," 61"," 86","   0.789","   0.239","   0.066","  45.000","    0","    0"
"13:20:52:967","17520501477830","   0.411","  10.116"," 4353"," 3500"," 4500"," 4800","  36.023","  12.917","   3.588","  34.963","  12.400","   3.445"," 89","0"," 61"," 97","   0.798","   0.322","   0.090","  45.000","    0","    0"
"13:20:53:067","17520732402446","   0.511","   9.068"," 4339"," 3600"," 4500"," 4800","  31.488","  16.073","   4.465","  29.970","  15.404","   4.279"," 82","0"," 62"," 92","   0.814","   0.404","   0.112","  45.000","    0","    0"
"13:20:53:171","17520971997424","   0.615","   7.523"," 4210"," 3500"," 4400"," 4795","  26.164","  18.794","   5.221","  24.708","  17.974","   4.993"," 91","0"," 60"," 91","   0.881","   0.496","   0.138","  45.000","    0","    0"
"13:20:53:271","17521203029906","   0.715","   7.095"," 4422"," 3700"," 4500"," 4800","  28.941","  21.696","   6.027","  27.632","  20.745","   5.762"," 88","0"," 63"," 91","   0.886","   0.584","   0.162","  45.000","    0","    0"
"13:20:53:374","17521439193302","   0.818","   7.405"," 4462"," 3900"," 4500"," 4800","  30.575","  24.830","   6.897","  29.278","  23.746","   6.596"," 87","0"," 63"," 93","   0.675","   0.654","   0.182","  45.000","    0","    0"
"13:20:53:474","17521670342960","   0.918","  13.810"," 4244"," 3500"," 4600"," 4800","  44.173","  29.262","   8.128","  43.097","  28.069","   7.797"," 83","0"," 63"," 93","   0.791","   0.733","   0.204","  45.000","    0","    0"
"13:20:53:574","17521901472500","   1.018","  18.107"," 4232"," 3600"," 4600"," 4800","  51.518","  34.430","   9.564","  50.354","  33.121","   9.200"," 88","0"," 65"," 95","   0.835","   0.817","   0.227","  45.000","    0","    0"
"13:20:53:675","17522133066532","   1.119","  15.318"," 4338"," 3700"," 4500"," 4800","  50.090","  39.465","  10.962","  48.531","  37.999","  10.555"," 87","0"," 65"," 93","   0.985","   0.916","   0.254","  45.000","    0","    0"
