"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"13:19:36:517","17344362880810","   0.102","   8.022"," 4265"," 3600"," 4400"," 4800","  27.246","   2.773","   0.770","  25.710","   2.617","   0.727"," 83","0"," 57"," 83","   0.853","   0.087","   0.024","  45.000","    0","    0"
"13:19:36:623","17344607526684","   0.208","   9.509"," 4280"," 3600"," 4400"," 4791","  31.361","   6.103","   1.695","  30.069","   5.810","   1.614"," 73","0"," 58"," 90","   0.851","   0.177","   0.049","  45.000","    0","    0"
"13:19:36:728","17344848475118","   0.313","   7.948"," 4373"," 3600"," 4400"," 4800","  28.791","   9.114","   2.532","  27.408","   8.676","   2.410"," 87","0"," 60"," 88","   0.719","   0.252","   0.070","  45.000","    0","    0"
"13:19:36:832","17345089022732","   0.417","   7.101"," 4428"," 3500"," 4600"," 4794","  28.054","  12.043","   3.345","  26.993","  11.495","   3.193"," 81","0"," 59"," 89","   0.668","   0.322","   0.090","  45.000","    0","    0"
"13:19:36:932","17345320133122","   0.517","  10.596"," 4370"," 3600"," 4600"," 4796","  37.757","  15.831","   4.397","  36.457","  15.151","   4.209"," 73","0"," 62"," 96","   0.971","   0.420","   0.117","  45.000","    0","    0"
"13:19:37:033","17345551402702","   0.618","   7.372"," 4097"," 3500"," 4600"," 4800","  25.614","  18.402","   5.112","  24.047","  17.565","   4.879"," 99","0"," 60","100","   0.792","   0.499","   0.139","  45.000","    0","    0"
"13:19:37:138","17345793628800","   0.723","   7.430"," 4103"," 3500"," 4600"," 4800","  23.937","  20.918","   5.811","  22.543","  19.935","   5.538"," 87","0"," 60","100","   0.867","   0.590","   0.164","  45.000","    0","    0"
"13:19:37:238","17346024439924","   0.823","   7.729"," 4451"," 3700"," 4600"," 4800","  31.709","  24.095","   6.693","  30.613","  23.002","   6.389","100","0"," 61","100","   0.690","   0.659","   0.183","  45.000","    0","    0"
"13:19:37:338","17346255709372","   0.923","  14.462"," 4225"," 3700"," 4500"," 4800","  41.733","  28.284","   7.857","  40.998","  27.117","   7.533"," 89","0"," 61","100","   0.771","   0.737","   0.205","  45.000","    0","    0"
"13:19:37:439","17346486804098","   1.024","  17.603"," 4356"," 3700"," 4500"," 4800","  56.910","  33.992","   9.442","  55.178","  32.652","   9.070"," 84","0"," 66"," 94","   0.890","   0.826","   0.229","  45.000","    0","    0"
