"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"13:08:56:613","15870041620588","   0.104","   7.833"," 4282"," 3500"," 4400"," 4800","  27.078","   2.813","   0.781","  25.638","   2.663","   0.740"," 88","0"," 58"," 88","   0.782","   0.081","   0.023","  45.000","    0","    0"
"13:08:56:719","15870285743132","   0.210","   9.181"," 4300"," 3600"," 4400"," 4800","  31.544","   6.155","   1.710","  30.224","   5.866","   1.629"," 72","0"," 59"," 91","   0.804","   0.166","   0.046","  45.000","  350","  333"
"13:08:56:819","15870516896142","   0.310","   8.515"," 4367"," 3600"," 4400"," 4800","  30.018","   9.166","   2.546","  28.835","   8.758","   2.433"," 88","0"," 61"," 88","   0.795","   0.246","   0.068","  45.000","    0","    0"
"13:08:56:921","15870752044712","   0.412","   6.919"," 4446"," 3900"," 4600"," 4800","  28.093","  12.034","   3.343","  26.969","  11.511","   3.197"," 86","0"," 62"," 91","   0.648","   0.312","   0.087","  45.000","    0","    0"
"13:08:57:026","15870993510174","   0.517","   9.515"," 4382"," 3500"," 4600"," 4716","  35.635","  15.768","   4.380","  34.168","  15.092","   4.192"," 81","0"," 62"," 93","   0.912","   0.408","   0.113","  45.000","    0","    0"
"13:08:57:131","15871236176616","   0.622","   7.107"," 4255"," 3500"," 4600"," 4800","  27.231","  18.636","   5.177","  25.929","  17.823","   4.951","100","0"," 61","100","   0.774","   0.489","   0.136","  45.000","    0","    0"
"13:08:57:236","15871477888596","   0.727","   7.016"," 4364"," 3700"," 4600"," 4800","  28.522","  21.629","   6.008","  27.136","  20.670","   5.742"," 89","0"," 63","100","   0.851","   0.579","   0.161","  45.000","    0","    0"
"13:08:57:336","15871709008422","   0.828","   7.404"," 4507"," 4000"," 4600"," 4800","  32.625","  24.901","   6.917","  31.237","  23.803","   6.612"," 97","0"," 64"," 97","   0.685","   0.647","   0.180","  45.000","    0","    0"
"13:08:57:439","15871944726022","   0.930","  15.714"," 4196"," 3500"," 4600"," 4800","  46.792","  29.688","   8.247","  45.701","  28.479","   7.911"," 87","0"," 63","100","   0.817","   0.731","   0.203","  45.000","    0","    0"
"13:08:57:540","15872177121146","   1.031","  17.652"," 4284"," 3800"," 4600"," 4797","  53.594","  35.094","   9.748","  52.141","  33.738","   9.372"," 91","0"," 64"," 96","   0.876","   0.819","   0.228","  45.000","    0","    0"
"13:08:57:640","15872408266426","   1.131","  17.221"," 4244"," 3600"," 4600"," 4797","  51.394","  40.250","  11.181","  50.354","  38.790","  10.775"," 95","0"," 65","100","   1.049","   0.924","   0.257","  45.000","    0","    0"
